scene,object_hypothesis_id,sample_role,status_cn,status_code,optical_start_frame,optical_mid_frame,optical_end_frame,sar_start_frame,sar_end_frame,sar_window_frame_count,has_real_optical_frames,primary_boxes_drawn,secondary_boxes_drawn,edge_partial_state,duplicate_handoff_state,ambiguity_status,azimuth_prior_available,azimuth_interval_deg,azimuth_width_deg,range_prior_mode,range_status_cn,weakness_cn,missing_fields_cn,local_page_path,repo_sample_path
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,,阻断,blocked_no_spatial_prior,166,168,169,,,,True,2,2,true,true,ambiguous_or_review_required,false,无,,not_generated_for_blocked_object,未生成或其他,对象 not-ready / short-noise 被阻断,对象被 short/noise 或 not-ready 阻断：无正常下游空间先验。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0111_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,,宽松,loose_spatial_prior_generated,5,23,41,6,92,87,True,3,1,true,true,ambiguous_or_review_required,true,-45.40° 到 34.60°，宽 80.00°,79.997,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0005_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,宽松空间先验,宽松,loose_spatial_prior_generated,37,60,83,73,179,107,True,1,2,true,true,ambiguous_or_review_required,true,-30.25° 到 14.97°，宽 45.22°,45.220,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0042_20260702_173036.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\visualizations\object_diagnostics_20260702_173036\oty2_object_diag_relaxed_uncertain_gm_rm019_bt0042_20260702_173036.png
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,,宽松,loose_spatial_prior_generated,98,119,140,200,298,99,True,3,0,true,true,ambiguous_or_review_required,true,-45.41° 到 34.57°，宽 79.99°,79.987,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0080_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,,宽松,loose_spatial_prior_generated,145,164,182,298,386,89,True,1,2,true,true,ambiguous_or_review_required,true,-45.41° 到 34.60°，宽 80.01°,80.013,broad_unknown_range_prior,宽未知,距离向宽未知 + 状态不确定导致宽松先验,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0098_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,,正常,normal_spatial_prior_generated,138,141,143,284,303,20,True,3,0,false,false,not_ambiguous,true,22.80° 到 31.59°，宽 8.79°,8.790,broad_unknown_range_prior,宽未知,距离向宽未知是主要短板,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0094_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,,正常,normal_spatial_prior_generated,259,260,261,536,549,14,True,3,0,false,false,not_ambiguous,true,-3.12° 到 5.38°，宽 8.50°,8.501,broad_unknown_range_prior,宽未知,距离向宽未知是主要短板,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0124_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,,仅审阅,review_only_spatial_context_generated,0,6,11,0,30,31,True,3,0,true,true,ambiguous_or_review_required,true,-35.58° 到 37.56°，宽 73.15°,73.148,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0001_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,,仅审阅,review_only_spatial_context_generated,0,6,12,0,33,34,True,1,1,true,true,ambiguous_or_review_required,true,-38.98° 到 37.60°，宽 76.57°,76.574,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0002_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0053,仅审阅空间上下文,仅审阅,review_only_spatial_context_generated,37,65,93,72,201,130,True,1,2,true,true,ambiguous_or_review_required,true,-24.57° 到 18.16°，宽 42.73°,42.734,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0053_20260702_173036.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\visualizations\object_diagnostics_20260702_173036\oty2_object_diag_review_only_gm_rm019_bt0053_20260702_173036.png
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0069,,仅审阅,review_only_spatial_context_generated,37,69,100,72,216,145,True,1,1,true,true,ambiguous_or_review_required,true,-24.57° 到 25.23°，宽 49.81°,49.807,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0069_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0071,,仅审阅,review_only_spatial_context_generated,86,90,93,174,201,28,True,2,2,true,true,ambiguous_or_review_required,true,-12.04° 到 17.18°，宽 29.22°,29.220,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0071_20260702_173036.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0093,,仅审阅,review_only_spatial_context_generated,97,119,141,197,301,105,True,0,2,true,true,ambiguous_or_review_required,true,-48.40° 到 37.60°，宽 86.00°,86.002,broad_unknown_range_prior_review_only,宽未知,距离向宽未知 + 对象含混，仅审阅,缺运行时安全 per-object range/depth 字段；缺可直接使用的距离向几何收敛信息。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_runtime_spatial_prior_visual_diagnosis_20260702_173036\object_pages\oty2_object_diag_gm_rm019_bt0093_20260702_173036.png,
