case_id,failure_mode,why_not_vehicle_shell,what_evidence_would_be_needed,manual_review_needed,not_allowed_conclusion
GTREF_GM_RM011_s0_2,single_part_no_shell,A single part cannot close a vehicle-scale shell.,Additional endpoint/edge/far-side relation at GT scale.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s6_13,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s6_13,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s6_13,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s6_13,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s7_15,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s7_15,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s9_17,single_part_no_shell,A single part cannot close a vehicle-scale shell.,Additional endpoint/edge/far-side relation at GT scale.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s9_17,near_field_spread_unresolved,Weak boundary or spread is not enough to assert a shell.,Persistent ridge/hotspot drift or clearer part relation.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s10_18,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s10_18,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s10_18,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s11_19,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s11_19,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s11_19,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s12_20,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s12_20,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s12_20,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s12_21,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s12_21,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s12_21,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s13_22,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s13_22,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s13_22,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s14_24,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s14_24,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s14_24,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s15_26,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s15_26,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s15_26,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s15_27,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s15_27,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s16_28,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s16_28,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s17_30,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s17_30,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s17_31,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s17_31,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s17_32,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s17_32,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s18_33,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s18_33,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s18_34,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s18_34,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s19_36,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s19_36,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s20_38,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s20_38,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s21_41,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s21_41,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s22_43,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s22_43,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s23_45,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s23_45,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s23_45,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s23_46,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s23_46,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s24_48,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s24_48,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s24_49,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s24_49,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s25_50,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s25_50,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s25_51,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s25_51,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s25_52,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s25_52,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s26_53,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s26_53,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s26_54,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s26_54,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s27_55,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s27_55,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s27_56,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s27_56,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s28_57,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s28_57,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s29_58,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s29_58,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s29_59,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s29_59,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s30_60,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s30_60,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s31_61,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s31_61,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s31_62,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s31_62,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s32_63,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s32_63,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s33_64,single_part_no_shell,A single part cannot close a vehicle-scale shell.,Additional endpoint/edge/far-side relation at GT scale.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s33_64,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s34_65,single_part_no_shell,A single part cannot close a vehicle-scale shell.,Additional endpoint/edge/far-side relation at GT scale.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s34_65,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s35_66,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s35_67,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s35_67,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s36_68,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s36_68,gt_too_small_for_structure,GT may only cover a local high-energy part.,Check whether vehicle-scale body extends outside GT.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s36_68,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s58_70,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s58_70,background_line_not_vehicle_shell,Background clutter can mimic a ridge or line.,Moving vehicle-like drift rather than background-stable response.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s58_70,gt_too_loose_for_structure,GT may include background or neighboring structures.,Manual GT quality review before strong morphology conclusion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s58_70,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s73_71,single_part_no_shell,A single part cannot close a vehicle-scale shell.,Additional endpoint/edge/far-side relation at GT scale.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s73_71,near_field_spread_unresolved,Weak boundary or spread is not enough to assert a shell.,Persistent ridge/hotspot drift or clearer part relation.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s256_75,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s256_75,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s256_76,parts_too_scattered,Parts exist but do not form a stable shell relation.,Temporal drift consistency or clearer shell completion.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
GTREF_GM_RM011_s256_76,range_spread_without_core,Range spread alone can be environment or motion artifact.,A body core plus edge/endpoints.,yes,not revised GT; not final box; not selector; not identity truth; not GT-guided runtime prediction logic
