gt_id,scene,sar_frame,gt_box_or_polygon_available,sar_valid_mask_available,valid_mask_source,image_available,full_inside_sar_valid_mask,mask_overlap_ratio,near_mask_boundary,gt_area_px,pool_type,valid_for_sar_morphology_reference,valid_for_optical_sar_correspondence,recommended_use,not_allowed_use,reason,sar_pseudocolor_path
15,GM_RM011,7,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11639.898,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000007.png
16,GM_RM011,8,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9302.808,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000008.png
17,GM_RM011,9,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9302.808,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000009.png
18,GM_RM011,10,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8243.52,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000010.png
19,GM_RM011,11,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8243.52,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000011.png
20,GM_RM011,12,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8243.52,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000012.png
21,GM_RM011,12,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8065.344,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000012.png
22,GM_RM011,13,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8756.35,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000013.png
23,GM_RM011,13,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000013.png
24,GM_RM011,14,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000014.png
25,GM_RM011,14,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000014.png
26,GM_RM011,15,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000015.png
27,GM_RM011,15,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000015.png
28,GM_RM011,16,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000016.png
29,GM_RM011,16,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000016.png
30,GM_RM011,17,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8763.282,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000017.png
31,GM_RM011,17,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000017.png
32,GM_RM011,17,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000017.png
33,GM_RM011,18,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000018.png
34,GM_RM011,18,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000018.png
35,GM_RM011,19,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8796.528,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000019.png
36,GM_RM011,19,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000019.png
37,GM_RM011,19,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000019.png
38,GM_RM011,20,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000020.png
39,GM_RM011,20,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000020.png
40,GM_RM011,21,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9243.762,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000021.png
41,GM_RM011,21,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000021.png
42,GM_RM011,21,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000021.png
43,GM_RM011,22,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000022.png
44,GM_RM011,22,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000022.png
45,GM_RM011,23,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8266.563,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000023.png
46,GM_RM011,23,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000023.png
47,GM_RM011,23,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000023.png
48,GM_RM011,24,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000024.png
49,GM_RM011,24,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000024.png
50,GM_RM011,25,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8665.441,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000025.png
51,GM_RM011,25,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000025.png
52,GM_RM011,25,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8775.939,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000025.png
53,GM_RM011,26,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8503.404,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000026.png
54,GM_RM011,26,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8253.885,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000026.png
55,GM_RM011,27,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8761.878,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000027.png
56,GM_RM011,27,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000027.png
57,GM_RM011,28,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000028.png
58,GM_RM011,29,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8671.792,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000029.png
59,GM_RM011,29,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000029.png
60,GM_RM011,30,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000030.png
61,GM_RM011,31,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8518.4,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000031.png
62,GM_RM011,31,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000031.png
63,GM_RM011,32,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000032.png
64,GM_RM011,33,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000033.png
65,GM_RM011,34,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000034.png
66,GM_RM011,35,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8629.205,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000035.png
67,GM_RM011,35,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000035.png
68,GM_RM011,36,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,8116.64,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000036.png
69,GM_RM011,58,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9497.396,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000058.png
70,GM_RM011,58,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11707.074,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000058.png
71,GM_RM011,73,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11856.368,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000073.png
72,GM_RM011,244,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10169.874,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000244.png
73,GM_RM011,244,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12180.969,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000244.png
74,GM_RM011,244,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10252.049,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000244.png
75,GM_RM011,256,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10100.231,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000256.png
76,GM_RM011,256,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12923.271,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000256.png
77,GM_RM011,256,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12020.126,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000256.png
78,GM_RM011,260,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12410.279,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000260.png
79,GM_RM011,260,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12451.637,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000260.png
80,GM_RM011,260,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,13268.629,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000260.png
81,GM_RM011,281,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11281.82,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000281.png
82,GM_RM011,281,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,13054.351,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000281.png
83,GM_RM011,281,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12451.506,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000281.png
84,GM_RM011,315,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10014.655,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000315.png
85,GM_RM011,315,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,12051.908,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000315.png
86,GM_RM011,335,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,16195.296,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000335.png
87,GM_RM011,335,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9203.805,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000335.png
88,GM_RM011,442,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10656.697,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000442.png
89,GM_RM011,444,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10263.336,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000444.png
90,GM_RM011,469,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9924.262,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000469.png
91,GM_RM011,506,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10890.876,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000506.png
92,GM_RM011,506,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,10322.907,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000506.png
93,GM_RM011,510,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11492.578,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000510.png
94,GM_RM011,510,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9733.591,gm011_blocked,true,false,GM_RM011 waiting object-stream SAR reference,paired correspondence before object stream recovery,current OTY object stream missing,D:\profile\research\data\GM_RM011\GM_RM011_SARframes\000510.png
95,GM_RM017,302,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,9361.215,paired_215,true,true,paired optical-SAR mechanism reference,identity truth or final annotation,paired object stream exists but GT relation remains posthoc,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000302.png
96,GM_RM017,302,true,true,fallback_fan_valid_region_no_external_mask_file_found,true,true,1,false,11890.17,sar_only,true,false,SAR-only morphology reference,optical-SAR correspondence,no optical object stream counterpart,D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000302.png
