case_id,gt_id,scene,sar_frame,pool_type,gt_quality_label,gt_scale_valid,dominant_shell_pattern,shell_parts_used,n_atoms,n_vehicle_parts,n_shell_parts,shell_long_axis_span,shell_short_axis_span,shell_to_gt_width_ratio,shell_to_gt_height_ratio,shell_to_gt_area_ratio,gt_scale_compatible,baby_car_risk,shell_physical_interpretation,vehicle_shell_supported,manual_review_needed,posthoc_only,notes
GTREF_GM_RM011_s5_10,10,GM_RM011,5,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,side_ridge_or_strip;side_ridge_or_strip,6,2,0,78.196,20.56,0.5927,0.3241,0.1334,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s5_11,11,GM_RM011,5,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0012,5,3,1,40.263,24.435,0.5113,0.1653,0.114,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s6_12,12,GM_RM011,6,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;body_block_or_part;side_ridge_or_strip,5,3,0,61.892,22.436,0.4621,0.3537,0.1299,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s6_13,13,GM_RM011,6,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,37.291,26.208,0.4736,0.1773,0.0756,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s7_14,14,GM_RM011,7,gm011_waiting_object_stream,good,yes,bilateral_edges,SHELL_0015,6,2,1,77.603,23.585,0.5709,0.3604,0.1457,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s7_15,15,GM_RM011,7,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0016,5,3,1,38.413,25.065,0.4878,0.1696,0.1074,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s8_16,16,GM_RM011,8,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0017,5,3,1,73.015,23.285,0.5293,0.3453,0.1386,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s9_17,17,GM_RM011,9,gm011_waiting_object_stream,good,yes,weak_boundary_shell,body_block_or_part,7,1,0,68.386,23.851,0.4958,0.3537,0.0865,uncertain,no,weak but structured boundary; manual review should check shell continuity.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s10_18,18,GM_RM011,10,gm011_waiting_object_stream,review_too_small,no,strip_plus_endpoint,side_ridge_or_strip;body_block_or_part,6,2,0,72.672,21.723,0.5593,0.3424,0.1123,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s11_19,19,GM_RM011,11,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,73.738,23.146,0.5675,0.3648,0.1231,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s12_20,20,GM_RM011,12,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,72.469,21.621,0.5577,0.3408,0.1145,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s12_21,21,GM_RM011,12,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,72.517,20.669,0.5651,0.3289,0.1164,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s13_22,22,GM_RM011,13,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,side_ridge_or_strip;body_block_or_part;endpoint_or_edge_part,5,3,0,75.268,19.676,0.5883,0.2875,0.1309,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s13_23,23,GM_RM011,13,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0024,5,3,1,37.402,20.932,0.2764,0.3228,0.1414,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s14_24,24,GM_RM011,14,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;body_block_or_part;endpoint_or_edge_part,5,3,0,35.452,21.674,0.2771,0.3416,0.1162,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s14_25,25,GM_RM011,14,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0026,5,3,1,36.121,22.379,0.2669,0.3451,0.1394,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s15_26,26,GM_RM011,15,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;body_block_or_part;endpoint_or_edge_part,5,3,0,43.143,19.162,0.3372,0.302,0.114,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s15_27,27,GM_RM011,15,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0028,5,3,1,45.639,19.811,0.3372,0.3055,0.1389,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s16_28,28,GM_RM011,16,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;body_block_or_part,6,2,0,49.133,24.539,0.384,0.3868,0.0956,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s16_29,29,GM_RM011,16,gm011_waiting_object_stream,good,yes,bilateral_edges,SHELL_0030,6,2,1,49.864,24.498,0.3685,0.3778,0.1371,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s17_30,30,GM_RM011,17,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0031,5,3,1,52.245,22.373,0.4014,0.3323,0.1297,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s17_31,31,GM_RM011,17,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,51.733,20.714,0.4043,0.3265,0.0967,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s17_32,32,GM_RM011,17,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,SHELL_0033,5,3,1,52.104,21.456,0.385,0.3309,0.1334,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s18_33,33,GM_RM011,18,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,54.638,24.95,0.4205,0.3813,0.0965,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s18_34,34,GM_RM011,18,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,SHELL_0035,6,2,1,54.578,24.907,0.4033,0.3841,0.1337,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s19_35,35,GM_RM011,19,gm011_waiting_object_stream,good,yes,bilateral_edges,SHELL_0036,6,2,1,72.667,19.261,0.5502,0.2892,0.1319,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s19_36,36,GM_RM011,19,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,72.662,19.382,0.5592,0.2962,0.0985,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s19_37,37,GM_RM011,19,gm011_waiting_object_stream,good,yes,bilateral_edges,SHELL_0038,6,2,1,72.213,25.057,0.5336,0.3864,0.14,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s20_38,38,GM_RM011,20,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,side_ridge_or_strip;body_block_or_part,6,2,0,77.385,20.227,0.5955,0.3091,0.0971,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s20_39,39,GM_RM011,20,gm011_waiting_object_stream,good,yes,bilateral_edges,SHELL_0040,6,2,1,77.449,20.361,0.5723,0.314,0.1351,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s21_40,40,GM_RM011,21,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0041,5,3,1,44.663,25.886,0.3407,0.3671,0.127,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s21_41,41,GM_RM011,21,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;body_block_or_part;endpoint_or_edge_part,5,3,0,44.044,23.431,0.339,0.3581,0.0929,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s21_42,42,GM_RM011,21,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0043,5,3,1,45.032,25.007,0.3327,0.3856,0.1329,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s22_43,43,GM_RM011,22,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,30.144,20.983,0.232,0.3206,0.0786,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s22_44,44,GM_RM011,22,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0045,5,3,1,29.806,21.53,0.2202,0.332,0.1242,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s23_45,45,GM_RM011,23,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;body_block_or_part;endpoint_or_edge_part,5,3,0,40.12,24.479,0.3127,0.3799,0.0946,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s23_46,46,GM_RM011,23,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;body_block_or_part;endpoint_or_edge_part,5,3,0,39.825,24.129,0.3065,0.3687,0.0909,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s23_47,47,GM_RM011,23,gm011_waiting_object_stream,good,yes,enclosed_shell,SHELL_0048,5,3,1,39.933,24.655,0.2951,0.3802,0.1337,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s24_48,48,GM_RM011,24,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,32.392,21.124,0.2493,0.3228,0.0736,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s24_49,49,GM_RM011,24,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0050,5,3,1,35.832,21.864,0.2648,0.3372,0.1327,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s25_50,50,GM_RM011,25,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,30.243,23.662,0.2359,0.35,0.0782,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s25_51,51,GM_RM011,25,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,30.131,23.308,0.2319,0.3562,0.0776,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s25_52,52,GM_RM011,25,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,SHELL_0053,6,2,1,40.478,23.692,0.2991,0.3654,0.1305,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s26_53,53,GM_RM011,26,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,34.966,22.939,0.2691,0.3505,0.0759,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s26_54,54,GM_RM011,26,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,30.114,21.962,0.2293,0.3495,0.0557,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s27_55,55,GM_RM011,27,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,37.021,25.885,0.2874,0.3805,0.0711,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s27_56,56,GM_RM011,27,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,36.206,25.406,0.283,0.4005,0.0711,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s28_57,57,GM_RM011,28,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,36.044,27.598,0.2817,0.435,0.0782,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s29_58,58,GM_RM011,29,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,SHELL_0059,5,3,1,56.486,30.569,0.4256,0.4679,0.1279,yes,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s29_59,59,GM_RM011,29,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;endpoint_or_edge_part,5,3,0,35.012,30.068,0.2737,0.474,0.0981,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s30_60,60,GM_RM011,30,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,39.1,28.318,0.3056,0.4464,0.0902,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s31_61,61,GM_RM011,31,gm011_waiting_object_stream,review_multi_structure,yes,bilateral_edges,SHELL_0062,6,2,1,69.449,28.792,0.5296,0.4432,0.1385,yes,no,discontinuous edge fragments form a possible long-axis body outline.,yes,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s31_62,62,GM_RM011,31,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,63.566,28.297,0.4968,0.446,0.109,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s32_63,63,GM_RM011,32,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;side_ridge_or_strip,6,2,0,55.904,28.416,0.4369,0.4479,0.1051,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s33_64,64,GM_RM011,33,gm011_waiting_object_stream,review_too_small,no,strip_plus_endpoint,body_block_or_part,7,1,0,33.834,29.787,0.2644,0.4695,0.0701,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s34_65,65,GM_RM011,34,gm011_waiting_object_stream,review_too_small,no,strip_plus_endpoint,body_block_or_part,7,1,0,37.866,28.801,0.296,0.454,0.0753,uncertain,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s35_66,66,GM_RM011,35,gm011_waiting_object_stream,good,yes,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,54.461,30.47,0.4083,0.471,0.1058,yes,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s35_67,67,GM_RM011,35,gm011_waiting_object_stream,review_too_small,no,bilateral_edges,body_block_or_part;endpoint_or_edge_part,6,2,0,53.607,29.932,0.419,0.4718,0.1051,uncertain,no,discontinuous edge fragments form a possible long-axis body outline.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s36_68,68,GM_RM011,36,gm011_waiting_object_stream,review_too_small,no,enclosed_shell,body_block_or_part;endpoint_or_edge_part;side_ridge_or_strip,5,3,0,49.517,29.082,0.387,0.4584,0.1232,uncertain,no,multiple parts surround a GT-scale body extent as a posthoc shell hypothesis.,uncertain,yes,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
GTREF_GM_RM011_s58_69,69,GM_RM011,58,gm011_waiting_object_stream,good,yes,strip_plus_endpoint,SHELL_0070,6,2,1,61.147,22.224,0.4524,0.3163,0.1381,yes,no,side strip plus endpoint/corner hotspot forms a vehicle-scale shell cue.,yes,no,yes,"Physical shell grammar is posthoc. Human contour marks are reference language only; not revised GT, final box, selector, or identity truth."
