case_id,proxy_name,proxy_available,proxy_value_or_label,evidence_summary,vehicle_shell_supported,main_failure_reason,manual_review_needed,notes
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=16; components=19; spread=153x54,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=75.789; area=2866,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=81.698,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=16,16 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0126,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=9.0438,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=16; components=22; spread=133x51,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=81.698; area=2863,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,shell_like,dominant_shape=shell_like; range_extent=82.791,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=16,16 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0186,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=4.753,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=shell_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=16; components=18; spread=149x83,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,shell_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=82.791; area=2959,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=81.551,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=16,16 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=2,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0209,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=6.4808,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=2,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=16; components=23; spread=167x82,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=81.551; area=2918,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=78.99,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=15,15 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0223,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=7.9054,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=15; components=20; spread=166x81,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=78.99; area=2785,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=73.842,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=14,14 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=0,atoms within fixed 15% support-edge band,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0296,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=12.3614,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=0,strip/shell component plus endpoint/corner atom proxy,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=14; components=17; spread=133x52,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=73.842; area=2774,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=5,aggregate of fixed support-wide shell/body proxies,uncertain,insufficient support-wide proxy agreement,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=73.114,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=15,15 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=2,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0145,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=13.5595,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=2,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=15; components=19; spread=150x52,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=73.114; area=2967,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,strip_like,dominant_shape=strip_like; range_extent=75.248,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=17,17 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=1,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.0177,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=9.497,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=strip_like; edge_atoms=1,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=17; components=14; spread=146x51,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,block_like_vehicle_body_proxy,yes,strip_like,dominant component is block_like under fixed fill-ratio heuristic,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,range_spread_with_core_proxy,yes,range_extent=75.248; area=3049,range spread with non-trivial core component,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,support_wide_vehicle_shell_proxy,yes,supportive_proxy_count=7,aggregate of fixed support-wide shell/body proxies,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,dominant_side_ridge_proxy,yes,shell_like,dominant_shape=shell_like; range_extent=92.811,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,facing_side_hotspot_proxy,yes,atoms=17,17 support-wide p97 atoms,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,endpoint_or_corner_reflector_proxy,yes,edge_atoms=2,atoms within fixed 15% support-edge band,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,far_side_weak_return_proxy,yes,secondary_ratio=0.02,secondary component is smaller than dominant component; physical far-side not asserted,no,proxy condition not met under fixed diagnostic rule,yes,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,discontinuous_aligned_edges_proxy,yes,alignment_ratio=9.3677,support-wide atoms are elongated under fixed PCA proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,strip_plus_corner_composition_proxy,yes,shape=shell_like; edge_atoms=2,strip/shell component plus endpoint/corner atom proxy,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,multi_peak_enclosed_shell_proxy,yes,atoms=17; components=19; spread=137x51,multiple support-wide atoms/components span a body-like extent,yes,,no,Posthoc support-wide morphology proxy only; not a selector feature.
