edge_id,scene_id,edge_source,from_target_family_id,to_target_family_id,from_frame_end,to_frame_start,wgv1_3_edge_decision,wgv1_4_edge_kind,wgv1_4_edge_status,repair_action,confidence,visual_evidence_frames,visual_evidence_paths,reason,rule_triggered,auto_applied,needs_user_spotcheck,sar_ready,not_final_box_flag,not_gt_box_flag,not_revised_annotation_flag
GM_RM011_WGV12M011,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF014,GM_RM011_WGV12TF015,250,251,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,250;251,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split/frames_yolo/GM_RM011_WGV13T009_GM_RM011_WGV12TF014_000250_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000251_diagnostic_yolo26l.png,M011 joins frame 250 to 251 as the same white car side-window crop.,B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M012,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF015,GM_RM011_WGV12TF016,259,260,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,259;260,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split/frames_yolo/GM_RM011_WGV13T010_GM_RM011_WGV12TF015_000259_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split/frames_yolo/GM_RM011_WGV13T011_GM_RM011_WGV12TF016_000260_diagnostic_yolo26l.png,M012 joins frames 259 and 260 as the same white car side/rear crop.,B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M013,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF016,GM_RM011_WGV12TF017,264,265,identity_split_boundary_blocked_by_wgv1_2,same_vehicle,accepted,same_vehicle_edge_upgraded,high,264;265,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split/frames_yolo/GM_RM011_WGV13T011_GM_RM011_WGV12TF016_000264_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF017_000265_diagnostic_yolo26l.png,M013 joins 264 to 265 as the same white car tail/side crop.,B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M014,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF017,GM_RM011_WGV12TF018,266,269,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,266;269,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M014/GM_RM011_WGV12M014_000265_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M014/GM_RM011_WGV12M014_000266_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M014/GM_RM011_WGV12M014_000267_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M014/GM_RM011_WGV12M014_000268_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M014/GM_RM011_WGV12M014_000269_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M014/GM_RM011_WGV12M014_000270_diagnostic_yolo26l.png,M014 keeps the same white car through rear/side frames 265-270.,B,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M015,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF018,GM_RM011_WGV12TF019,270,279,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,270;279,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000269_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000270_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000271_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000272_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000273_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000274_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000275_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/edge_review_frames/GM_RM011_WGV12M015/GM_RM011_WGV12M015_000276_diagnostic_yolo26l.png,M015 keeps the same white car through 269-288; later left SUV is only a competitor.,B;F;G,yes,no,no / blocked,yes,yes,yes
GM_RM011_WGV12M016,GM_RM011,wgv1_3_candidate,GM_RM011_WGV12TF019,GM_RM011_WGV12TF020,288,289,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,288;289,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000288_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000289_diagnostic_yolo26l.png,M016 switches from right-side white car to left white SUV competitor.,D;F;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M001,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF001,GM_RM017_WGV12TF002,144,145,identity_safe_same_vehicle_thread_candidate,same_vehicle,weak,same_vehicle_edge_downgraded,medium,144;145,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000118_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000119_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000120_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000121_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000122_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000123_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000124_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M001/GM_RM017_WGV12M001_000125_diagnostic_yolo26l.png,M001 follows a far/partly occluded white box truck; keep weak.,B,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV12M002,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF002,GM_RM017_WGV12TF003,148,149,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,148;149,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000148_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000149_diagnostic_yolo26l.png,M002 is white box truck to black sedan.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M003,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF003,GM_RM017_WGV12TF004,155,156,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,155;156,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000155_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000156_diagnostic_yolo26l.png,M003 is black sedan to white box truck.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M004,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF004,GM_RM017_WGV12TF005,157,158,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,157;158,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000157_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF005_000158_diagnostic_yolo26l.png,"M004 is white box truck to white SUV, different vehicles.",D;F,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M005,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF005,GM_RM017_WGV12TF006,158,164,identity_safe_same_vehicle_candidate_with_primary_box_selection_issue,same_vehicle,weak,same_vehicle_edge_downgraded,medium,158;164,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000158_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000159_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000160_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000161_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000162_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000163_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000164_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/edge_review_frames/GM_RM017_WGV12M005/GM_RM017_WGV12M005_000165_diagnostic_yolo26l.png,M005 is the same white SUV but with strong black-car/box-truck competition.,F;G,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV12M006,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF006,GM_RM017_WGV12TF007,168,169,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,168;169,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000168_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000169_diagnostic_yolo26l.png,M006 is white SUV to black sedan.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M007,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF007,GM_RM017_WGV12TF008,173,174,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,173;174,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000173_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split/frames_yolo/GM_RM017_WGV13T006_GM_RM017_WGV12TF008_000174_diagnostic_yolo26l.png,M007 is black sedan to white SUV.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M008,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF008,GM_RM017_WGV12TF009,175,176,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,175;176,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split/frames_yolo/GM_RM017_WGV13T006_GM_RM017_WGV12TF008_000175_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split/frames_yolo/GM_RM017_WGV13T007_GM_RM017_WGV12TF009_000176_diagnostic_yolo26l.png,M008 is white SUV to black sedan.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M009,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF009,GM_RM017_WGV12TF010,181,182,identity_split_boundary_blocked_by_wgv1_2,not_same_vehicle_context,context_only,temporal_context_edge_added,medium,181;182,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split/frames_yolo/GM_RM017_WGV13T007_GM_RM017_WGV12TF009_000181_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/21_GM_RM017_GM_RM017_WGV13T008_standalone_split/frames_yolo/GM_RM017_WGV13T008_GM_RM017_WGV12TF010_000182_diagnostic_yolo26l.png,M009 is black sedan to white SUV.,D;G,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV12M010,GM_RM017,wgv1_3_candidate,GM_RM017_WGV12TF011,GM_RM017_WGV12TF012,213,214,identity_safe_same_vehicle_thread_candidate,same_vehicle,accepted,same_vehicle_edge_upgraded,high,213;214,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000200_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000201_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000202_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000203_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000204_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000205_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000206_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/edge_review_frames/GM_RM017_WGV12M010/GM_RM017_WGV12M010_000207_diagnostic_yolo26l.png,M010 is the same black sedan over frames 200-214.,A,yes,no,no / blocked,yes,yes,yes
GM_RM017_WGV14V001,GM_RM017,wgv1_4_visual_added,GM_RM017_WGV12TF002,GM_RM017_WGV12TF004,,,not_present,same_vehicle,weak,fragment_merge,medium,118;145;148;156;157,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000145_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000148_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000156_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000157_diagnostic_yolo26l.png,White box truck reappears after intervening black-sedan selection.,A;B;G,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV14V002,GM_RM017,wgv1_4_visual_added,GM_RM017_WGV12TF003,GM_RM017_WGV12TF007,,,not_present,same_vehicle,weak,fragment_merge,medium,149;155;169;173,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000149_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000155_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000169_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000173_diagnostic_yolo26l.png,Black sedan remains visible through the white-SUV interleave.,A;G,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV14V003,GM_RM017,wgv1_4_visual_added,GM_RM017_WGV12TF007,GM_RM017_WGV12TF009,,,not_present,same_vehicle,accepted,fragment_merge,medium_high,169;173;176;181,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000169_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000173_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split/frames_yolo/GM_RM017_WGV13T007_GM_RM017_WGV12TF009_000176_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split/frames_yolo/GM_RM017_WGV13T007_GM_RM017_WGV12TF009_000181_diagnostic_yolo26l.png,Black sedan continues from 173 to 176-181 after a brief white-SUV selection.,A;G,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV14V004,GM_RM017,wgv1_4_visual_added,GM_RM017_WGV12TF009,GM_RM017_WGV12TF011,,,not_present,same_vehicle,weak,fragment_merge,medium,176;181;200;214,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split/frames_yolo/GM_RM017_WGV13T007_GM_RM017_WGV12TF009_000176_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split/frames_yolo/GM_RM017_WGV13T007_GM_RM017_WGV12TF009_000181_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T009_GM_RM017_WGV12TF011_000200_diagnostic_yolo26l.png,"Black sedan at right edge plausibly continues into 200-214, but the gap is long.",A;F,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV14V005,GM_RM017,wgv1_4_visual_added,GM_RM017_WGV12TF006,GM_RM017_WGV12TF008,,,not_present,same_vehicle,weak,fragment_merge,medium,164;168;174;175,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000164_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000168_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split/frames_yolo/GM_RM017_WGV13T006_GM_RM017_WGV12TF008_000174_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split/frames_yolo/GM_RM017_WGV13T006_GM_RM017_WGV12TF008_000175_diagnostic_yolo26l.png,White SUV continues through frames 168 to 174-175 with black-car competition.,F;G,yes,yes,no / blocked,yes,yes,yes
GM_RM017_WGV14V006,GM_RM017,wgv1_4_visual_added,GM_RM017_WGV12TF008,GM_RM017_WGV12TF010,,,not_present,same_vehicle,weak,fragment_merge,medium,174;175;182;185,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split/frames_yolo/GM_RM017_WGV13T006_GM_RM017_WGV12TF008_000174_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split/frames_yolo/GM_RM017_WGV13T006_GM_RM017_WGV12TF008_000175_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/21_GM_RM017_GM_RM017_WGV13T008_standalone_split/frames_yolo/GM_RM017_WGV13T008_GM_RM017_WGV12TF010_000182_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/21_GM_RM017_GM_RM017_WGV13T008_standalone_split/frames_yolo/GM_RM017_WGV13T008_GM_RM017_WGV12TF010_000185_diagnostic_yolo26l.png,White SUV continues from 174-175 to 182-185 after interleaved black-car frames.,F;G,yes,yes,no / blocked,yes,yes,yes
