control_id,window_id,case_id,control_type,wrong_vehicle_or_region,evidence_used,resulting_interpretation,contradiction_found,would_false_positive_occur,what_this_control_tests,evidence_path
NC-W3-01,W3,FWD-W3-494-R01,wrong_vehicle,Swap PV010/PV011 boxes at anchors506/510,Direct GT anchors and optical order,Swap contradicts optical left/right identity despite similar weak internal textures.,yes,yes under appearance-only explanation,Whether similar white vehicles remain exclusive,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
NC-W3-02,W3,FWD-W3-597-R01,wrong_time,Use PV010/PV011 interpretation 87 frames later at597,SAR510 vs597; lifecycle PV010-013,"Vehicle pair has changed, while line/arc background remains.",yes,yes without full lifecycle,Whether later frames are prevented from inheriting earlier ownership,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
NC-W3-03,W3,FWD-W3-494-R01,wrong_position,PV010/PV011 GT boxes shifted +150 px x and -300 px y,SAR510 shifted controls,Wrong regions still contain line-like response.,yes,yes,Whether forward region selection has spatial discriminative power,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
NC-W3-04,W3,FWD-W3-494-R01,wrong_orientation,PV010/PV011 boxes rotated 90 deg,SAR510 correct and rotated boxes,Rotated boxes still intersect near-origin clutter.,yes,yes,Whether orientation is evidence or merely posthoc fit,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
NC-W3-05,W3,FWD-W3-597-R02,background,Center vertical and lower arc,SAR482-610 raw sequence,Structures persist through PV010/PV011/PV012/PV013 turnover.,yes,yes,Whether background persistence is explicitly excluded,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
CF-MOD-01,ALL,FWD-W1-044-R01,remove_optical_identity,Remove PV001/PV003 and PV010-013 canonical identities,W1 and W3 optical lifecycles,Similar/overlapping vehicles merge into false continuations.,yes,yes,What optical identity uniquely contributes,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png;reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
CF-MOD-02,ALL,FWD-W2-338-R02,remove_full_lifecycle,Ignore entry/exit and use only local presence,PV007 exit; PV001 exit; W3 turnover,Exited vehicles remain available owners and persistent background is not rejected.,yes,yes,What full lifecycle uniquely contributes,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
CF-MOD-03,ALL,FWD-W1-016-R01,remove_physical_scale_range,Ignore display-grid extent and radial displacement,Frozen regions versus direct GT anchors,Large radial mismatches are no longer rejected.,yes,yes,What physical scale/position compatibility contributes,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W1_CLOSURE_COUNTERFACTUAL.png
CF-MOD-04,ALL,FWD-W2-292-R01,remove_multivehicle_context,Evaluate each vehicle crop independently,W2 three-vehicle and W3 overlap windows,The same response can be assigned to multiple mutually exclusive vehicles.,yes,yes,What multi-vehicle exclusivity contributes,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
CF-MOD-05,ALL,FWD-W2-304-R01,single_frame_only,Use only current optical/SAR frame,Optical145 and SAR304,Current salience replaces physical identity; weak/unboxed vehicles are missed.,yes,yes,What adjacent/short/full temporal context contributes beyond a frame,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W2_CLOSURE_COUNTERFACTUAL.png
CF-MOD-06,ALL,FWD-W3-547-R01,short_window_only,Ignore longer identity turnover and background persistence,W3 PV010-013 lifecycle,Visually similar successive vehicles chain; later GT gaps are hidden.,yes,yes,What medium/full lifecycle contributes beyond short continuity,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
CF-MOD-07,ALL,FWD-W3-597-R02,full_sequence_without_adjacent_change,Use only long persistence and ignore local changes,W1-W3 persistent arc/line structures,Stable background dominates; weak frame-local vehicle evidence is erased.,yes,yes,Why complete sequence cannot be reduced to persistence statistics,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/C_W3_CLOSURE_COUNTERFACTUAL.png
