scene,object_hypothesis_id,main_tracker_track_id,frame_start,frame_end,object_hypothesis_type,same_object_support_level,main_track_stability_status,recommended_use_for_oty2,identity_status,review_required,orphan_conflict_count,shared_secondary_detection_count,ambiguous_cluster_conflict_count,oty2_gate,alignment_confidence_prior,uncertainty_policy,reason,runtime_source_policy
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,bt_0080,98,140,main_track_with_secondary_observations,moderate,reactivated_main_track,main_track_with_uncertainty_handoff,same_object_hypothesis_review_required,true,0,0,0,use_with_uncertainty_expansion,medium,expanded_window,P4G requested uncertainty handoff; primary continuity is kept and secondary observations expand the temporal window.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,bt_0008,145,200,ambiguous_object_hypothesis,moderate,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,5,9,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,bt_0001,0,11,ambiguous_object_hypothesis,moderate,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,1,0,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,bt_0002,0,12,ambiguous_object_hypothesis,weak,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,0,0,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0053,bt_0053,37,93,ambiguous_object_hypothesis,moderate,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,36,0,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0069,bt_0069,37,100,ambiguous_object_hypothesis,moderate,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,36,0,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0071,bt_0071,86,93,ambiguous_object_hypothesis,moderate,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,4,0,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0093,bt_0093,97,141,ambiguous_object_hypothesis,weak,ambiguous_main_track,optional_continuity_hint_with_visual_review,ambiguous_object_hypothesis,true,0,0,0,low_confidence_window_only,low,review_only_window,optional continuity hint remains low-confidence; review_required does not confirm or deny identity.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,bt_0009,1,14,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,1,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,bt_0024,37,52,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,13,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,bt_0029,37,93,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,36,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,bt_0036,37,93,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,36,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,bt_0057,71,74,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,3,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,bt_0067,43,86,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,19,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,bt_0070,43,87,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,19,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,bt_0073,43,100,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,0,12,0,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,bt_0111,166,169,short_or_noise_track_hypothesis,weak,short_main_track,do_not_use_for_oty2,short_or_noise_hypothesis,true,1,1,2,exclude_from_oty2,blocked,excluded,P4G recommended do_not_use_for_oty2 or short/noise hypothesis; excluded before temporal mapping.,oty2_p0_runtime_safe_object_temporal_alignment_no_sar_image_no_gt_no_selector
