comparison,experiment_id,experiment_type,physical_vehicle_id,hidden_target_pair_id,sar_frame,coverage_delta,iou_delta,center_error_delta,search_ratio_delta,verdict,notes
C1_minus_C0,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,0.0046,0.002252,113.735721,0.009824,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,77,-0.0046,-0.002252,-7.520011,0.001242,neutral,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,0,0,114.414959,0.009824,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_WHITE_0204_TO_0207,open_loop,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0207,81,0,0,-80.165696,0.001242,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,0.121334,0.079821,42.305571,0.009637,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,238,-0.494538,-0.272728,-120.506619,0.001335,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,0,0,-74.179206,0.009637,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,269,0,0,64.062585,0.001335,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,0,0,-118.57823,0.009637,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,273,0,0,87.301808,0.001335,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,0,0,-346.586738,0.009637,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,288,0,0,181.584177,0.001335,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
C1_minus_C0,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0213,290,0,0,-386.924405,0.009637,harmed,Positive center_error_delta means the right method is closer to the hidden visible response center.
C2_minus_C1,OPEN_SILVER_0208_TO_0213,open_loop,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0213,290,0,0,203.279246,0.001335,improved,Positive center_error_delta means the right method is closer to the hidden visible response center.
