raw_review_id,blind_frame_id,blind_family_id,family_id,raw_strongest_response_position_cn,raw_visible_component_count,raw_shape_and_orientation_cn,raw_internal_blank_cn,raw_neighbor_response_cn,raw_bbox_boundary_adequacy_cn,raw_vehicle_response_support,raw_background_support,raw_unresolved,raw_decisive_reason_cn,raw_alternative_explanation_cn,raw_confidence,raw_png
R21RAW0011,R21_BLIND_FRAME_046,R21_BLIND_FAMILY_011,R21F00011,框内上沿被长弧线扫过，中央弱亮团不闭合,3,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00011在46帧判为未决：框内上沿被长弧线扫过，中央弱亮团不闭合；可见组件数3；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00011的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0012,R21_BLIND_FRAME_052,R21_BLIND_FAMILY_012,R21F00012,框内上沿长弧线很亮，右下仅见稀疏回波,3-4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00012在52帧倾向于未决：框内上沿长弧线很亮，右下仅见稀疏回波；可见组件数3-4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00012的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0013,R21_BLIND_FRAME_060,R21_BLIND_FAMILY_013,R21F00013,框内下部有小块状回波，周围是弧线和竖向拖影背景,3-4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00013在60帧记录为未决：框内下部有小块状回波，周围是弧线和竖向拖影背景；可见组件数3-4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00013的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.41,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0014,R21_BLIND_FRAME_060,R21_BLIND_FAMILY_014,R21F00014,框内下部有小块状回波，周围是弧线和竖向拖影背景,2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00014在60帧归入未决：框内下部有小块状回波，周围是弧线和竖向拖影背景；可见组件数2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00014的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.30,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0015,R21_BLIND_FRAME_077,R21_BLIND_FAMILY_015,R21F00015,框内横向短线居中偏左，右下有弱条但整体偏细长,2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00015在77帧保留为未决：框内横向短线居中偏左，右下有弱条但整体偏细长；可见组件数2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00015的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0016,R21_BLIND_FRAME_078,R21_BLIND_FAMILY_016,R21F00016,框内中心小块弱亮，左下暗区大，邻近弧线未进入框内主体,1-2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00016在78帧判为未决：框内中心小块弱亮，左下暗区大，邻近弧线未进入框内主体；可见组件数1-2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00016的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_001.png
R21RAW0017,R21_BLIND_FRAME_079,R21_BLIND_FAMILY_017,R21F00017,框内中心偏左是一小团暗弱回波，缺少端部配对亮点,1,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00017在79帧倾向于未决：框内中心偏左是一小团暗弱回波，缺少端部配对亮点；可见组件数1；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00017的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0018,R21_BLIND_FRAME_080,R21_BLIND_FAMILY_018,R21F00018,框内长水平弧线从左到右穿过，上方有孤立亮点,4+,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00018在80帧记录为背景支持：框内长水平弧线从左到右穿过，上方有孤立亮点；可见组件数4+；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00018的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0019,R21_BLIND_FRAME_081,R21_BLIND_FAMILY_019,R21F00019,框内中央有斜向散点，下沿黑区贴近框边，右上有强线状背景,3,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00019在81帧归入背景支持：框内中央有斜向散点，下沿黑区贴近框边，右上有强线状背景；可见组件数3；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00019的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0020,R21_BLIND_FRAME_212,R21_BLIND_FAMILY_020,R21F00020,框内靠左下只有小竖块，右侧大面积为低纹理斜坡,1-2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00020在212帧保留为未决：框内靠左下只有小竖块，右侧大面积为低纹理斜坡；可见组件数1-2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00020的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0021,R21_BLIND_FRAME_213,R21_BLIND_FAMILY_021,R21F00021,框内左下竖块和中部小亮点分离，右侧没有闭合结构,1,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00021在213帧判为未决：框内左下竖块和中部小亮点分离，右侧没有闭合结构；可见组件数1；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00021的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0022,R21_BLIND_FRAME_216,R21_BLIND_FAMILY_022,R21F00022,框内左下短竖亮点明显，其他区域主要是颗粒噪声,1-2,短条或小块状，主方向接近水平，尺度不足以支持完整车体,框内暗区占比高，亮点之间没有连续内部纹理,邻域还有相近散斑，替代解释是孤立热点或短边缘纹理,框边界偏紧，只覆盖短亮点，无法说明完整外延,false,false,true,R21F00022在216帧倾向于未决：框内左下短竖亮点明显，其他区域主要是颗粒噪声；可见组件数1-2；框边界偏紧，只覆盖短亮点，无法说明完整外延。,R21F00022的替代解释：更强的替代解释是短金属边缘、孤立热点或噪声峰。这一判断只使用raw灰度和白色候选框。,0.34,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0023,R21_BLIND_FRAME_220,R21_BLIND_FAMILY_023,R21F00023,框内下部出现几条竖向弱线，上部散斑无稳定边界,3,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00023在220帧记录为未决：框内下部出现几条竖向弱线，上部散斑无稳定边界；可见组件数3；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00023的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0024,R21_BLIND_FRAME_224,R21_BLIND_FAMILY_024,R21F00024,框内下部竖线和底部亮块相连，上半部为宽暗纹理,4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00024在224帧归入未决：框内下部竖线和底部亮块相连，上半部为宽暗纹理；可见组件数4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00024的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0025,R21_BLIND_FRAME_227,R21_BLIND_FAMILY_025,R21F00025,框内下半部两三条竖线较清楚，上半部散斑偏松散,3,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00025在227帧保留为未决：框内下半部两三条竖线较清楚，上半部散斑偏松散；可见组件数3；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00025的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0026,R21_BLIND_FRAME_228,R21_BLIND_FAMILY_026,R21F00026,框内下中有成对竖线，右侧边缘仍接近弱背景纹理,4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00026在228帧判为未决：框内下中有成对竖线，右侧边缘仍接近弱背景纹理；可见组件数4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00026的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0027,R21_BLIND_FRAME_238,R21_BLIND_FAMILY_027,R21F00027,框内底部亮带和中部竖线同时出现，上方弧形纹理强,3-4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00027在238帧倾向于未决：框内底部亮带和中部竖线同时出现，上方弧形纹理强；可见组件数3-4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00027的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0028,R21_BLIND_FRAME_239,R21_BLIND_FAMILY_028,R21F00028,框内底部竖向亮带最强，顶部横向弧线压过候选区,3,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00028在239帧记录为未决：框内底部竖向亮带最强，顶部横向弧线压过候选区；可见组件数3；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00028的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0029,R21_BLIND_FRAME_243,R21_BLIND_FAMILY_029,R21F00029,框内下中亮带与左侧竖线明显，上沿连续弧线偏强,4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00029在243帧归入未决：框内下中亮带与左侧竖线明显，上沿连续弧线偏强；可见组件数4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00029的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0030,R21_BLIND_FRAME_250,R21_BLIND_FAMILY_030,R21F00030,框内下部强亮柱在中间，左右竖线较分散,3-4,多点散布呈宽矩形趋势，但亮点之间间隔较大,候选框中部有明显暗带，多个亮斑之间缺少填充,同帧附近存在弧线和竖向拖影，可能把背景局部包进框内,框边界偏宽，包含不少未解释暗区和邻近弱纹理,false,false,true,R21F00030在250帧保留为未决：框内下部强亮柱在中间，左右竖线较分散；可见组件数3-4；框边界偏宽，包含不少未解释暗区和邻近弱纹理。,R21F00030的替代解释：替代解释是多个背景散斑被同一宽框收集，而非同一车体。这一判断只使用raw灰度和白色候选框。,0.43,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0031,R21_BLIND_FRAME_259,R21_BLIND_FAMILY_031,R21F00031,框内下沿强亮点和右侧竖线并列，上半部横线较长,4,有横向主体和端部/侧边的弱配对关系，形态接近局部车辆响应,主体附近有暗缝但亮点间存在弱连接，不是完全空框,邻近背景仍存在，不过框内多个亮点的相对位置更像同一局部响应,框边界覆盖主体亮点和弱端部，仍有少量不确定外延,true,false,false,R21F00031在259帧判为车辆响应支持：框内下沿强亮点和右侧竖线并列，上半部横线较长；可见组件数4；框边界覆盖主体亮点和弱端部，仍有少量不确定外延。,R21F00031的替代解释：替代解释是背景线叠加强散点；但多点相对位置比单一弧线更集中。这一判断只使用raw灰度和白色候选框。,0.66,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0032,R21_BLIND_FRAME_260,R21_BLIND_FAMILY_032,R21F00032,框内右下两条竖线和下中亮点清楚，上方横线仍贯穿,3-4,有横向主体和端部/侧边的弱配对关系，形态接近局部车辆响应,主体附近有暗缝但亮点间存在弱连接，不是完全空框,邻近背景仍存在，不过框内多个亮点的相对位置更像同一局部响应,框边界覆盖主体亮点和弱端部，仍有少量不确定外延,true,false,false,R21F00032在260帧倾向于车辆响应支持：框内右下两条竖线和下中亮点清楚，上方横线仍贯穿；可见组件数3-4；框边界覆盖主体亮点和弱端部，仍有少量不确定外延。,R21F00032的替代解释：替代解释是背景线叠加强散点；但多点相对位置比单一弧线更集中。这一判断只使用raw灰度和白色候选框。,0.66,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_002.png
R21RAW0033,R21_BLIND_FRAME_262,R21_BLIND_FAMILY_033,R21F00033,框内左上长水平线和右下竖线同时存在，中间暗区很大,3,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00033在262帧记录为背景支持：框内左上长水平线和右下竖线同时存在，中间暗区很大；可见组件数3；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00033的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_003.png
R21RAW0034,R21_BLIND_FRAME_263,R21_BLIND_FAMILY_034,R21F00034,框内下中强亮柱、上方水平线和右侧竖线分离，空白区偏多,2-3,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00034在263帧归入背景支持：框内下中强亮柱、上方水平线和右侧竖线分离，空白区偏多；可见组件数2-3；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00034的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_003.png
R21RAW0035,R21_BLIND_FRAME_269,R21_BLIND_FAMILY_035,R21F00035,框内上沿长线与右侧竖线构成背景角，中央车辆形态不闭合,3,线状或弧状响应占主导，方向随场景弧线延伸,线状亮带两侧空白明显，主体区域没有块状填实,邻近背景弧线连续性强，是最主要的替代结构,框边界沿线状背景展开，过宽地接收了弧线连续段,false,true,false,R21F00035在269帧保留为背景支持：框内上沿长线与右侧竖线构成背景角，中央车辆形态不闭合；可见组件数3；框边界沿线状背景展开，过宽地接收了弧线连续段。,R21F00035的替代解释：替代解释是场景中的连续弧线或长侧线穿过候选框。这一判断只使用raw灰度和白色候选框。,0.58,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_003.png
R21RAW0036,R21_BLIND_FRAME_270,R21_BLIND_FAMILY_036,R21F00036,框内上沿长横线和下部亮柱并存，右侧竖条接近边界,2,局部端点或侧边样回波可见，但只覆盖车辆的一小段,局部回波之间仍有暗缝，支持部件多于完整车体,邻近横线和竖线会干扰判断，但框内局部亮点相对集中,框边界适合局部部件，但不能作为完整车辆响应框,true,false,false,R21F00036在270帧判为车辆响应支持：框内上沿长横线和下部亮柱并存，右侧竖条接近边界；可见组件数2；框边界适合局部部件，但不能作为完整车辆响应框。,R21F00036的替代解释：替代解释是车辆局部部件与附近背景线重叠，尚不足以闭合整车。这一判断只使用raw灰度和白色候选框。,0.61,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_raw_family_sheet_003.png
