sar_frame,diagnostic_png,contact_sheet,review_reason,selected_response_count,relative_structure_reject_count,background_association_count,policy_divergence_px,max_policy_correction_px,visual_judgment_cn,automatic_state_matches_image,wrong_association_found,downgrade_needed
371,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar371.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame;uniform_sequence_sample,9,54,19,1.778736,2.716425,"SAR371: 选中响应9条, relative结构拒绝54条, A/B/C中心分歧1.778736px, 背景关联19条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
372,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar372.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,7,44,18,1.502937,1.275989,"SAR372: 选中响应7条, relative结构拒绝44条, A/B/C中心分歧1.502937px, 背景关联18条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
373,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar373.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;background_association_frame,3,28,19,1.657873,1.844792,"SAR373: 选中响应3条, relative结构拒绝28条, A/B/C中心分歧1.657873px, 背景关联19条。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
374,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar374.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,4,64,21,1.406549,2.264662,"SAR374: 选中响应4条, relative结构拒绝64条, A/B/C中心分歧1.406549px, 背景关联21条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
375,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar375.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,7,46,18,2.179017,2.271755,"SAR375: 选中响应7条, relative结构拒绝46条, A/B/C中心分歧2.179017px, 背景关联18条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
376,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar376.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,max_admission_policy_divergence_frame;missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame;uniform_sequence_sample,8,57,19,3.187732,2.521729,"SAR376: 选中响应8条, relative结构拒绝57条, A/B/C中心分歧3.187732px, 背景关联19条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
377,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar377.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,5,40,18,2.6024,1.126813,"SAR377: 选中响应5条, relative结构拒绝40条, A/B/C中心分歧2.6024px, 背景关联18条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
378,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar378.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,5,42,13,2.323185,1.022408,"SAR378: 选中响应5条, relative结构拒绝42条, A/B/C中心分歧2.323185px, 背景关联13条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
379,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar379.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,5,35,15,1.028375,0.936959,"SAR379: 选中响应5条, relative结构拒绝35条, A/B/C中心分歧1.028375px, 背景关联15条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
380,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar380.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,7,35,17,0.646718,1.77492,"SAR380: 选中响应7条, relative结构拒绝35条, A/B/C中心分歧0.646718px, 背景关联17条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
381,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar381.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame;uniform_sequence_sample,7,38,15,1.197661,1.36126,"SAR381: 选中响应7条, relative结构拒绝38条, A/B/C中心分歧1.197661px, 背景关联15条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
382,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar382.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,7,45,18,0.931992,1.721718,"SAR382: 选中响应7条, relative结构拒绝45条, A/B/C中心分歧0.931992px, 背景关联18条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
383,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar383.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,6,42,19,1.176391,2.117369,"SAR383: 选中响应6条, relative结构拒绝42条, A/B/C中心分歧1.176391px, 背景关联19条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
384,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar384.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,8,45,24,2.479967,1.224578,"SAR384: 选中响应8条, relative结构拒绝45条, A/B/C中心分歧2.479967px, 背景关联24条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
385,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar385.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,7,30,19,1.812386,1.565032,"SAR385: 选中响应7条, relative结构拒绝30条, A/B/C中心分歧1.812386px, 背景关联19条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
386,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar386.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame;uniform_sequence_sample,8,53,18,1.152831,1.685145,"SAR386: 选中响应8条, relative结构拒绝53条, A/B/C中心分歧1.152831px, 背景关联18条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。 准入策略改变了递归中心, 不是selector或ranking。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
387,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar387.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;background_association_frame,7,43,20,0.864823,1.204659,"SAR387: 选中响应7条, relative结构拒绝43条, A/B/C中心分歧0.864823px, 背景关联20条。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
388,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar388.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,7,52,27,0.934711,1.240762,"SAR388: 选中响应7条, relative结构拒绝52条, A/B/C中心分歧0.934711px, 背景关联27条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
389,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar389.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;background_association_frame,6,36,19,0.912355,0.80757,"SAR389: 选中响应6条, relative结构拒绝36条, A/B/C中心分歧0.912355px, 背景关联19条。 本帧含缺失后的首次重新关联, 只记为candidate。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
390,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar390.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame,8,42,29,0.413783,0.561751,"SAR390: 选中响应8条, relative结构拒绝42条, A/B/C中心分歧0.413783px, 背景关联29条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
391,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar391.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_first_hit_frame;reappearance_confirmed_frame;background_association_frame;uniform_sequence_sample,9,46,23,0.920973,2.001655,"SAR391: 选中响应9条, relative结构拒绝46条, A/B/C中心分歧0.920973px, 背景关联23条。 本帧含缺失后的首次重新关联, 只记为candidate。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
392,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar392.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,8,44,21,0.599756,1.640522,"SAR392: 选中响应8条, relative结构拒绝44条, A/B/C中心分歧0.599756px, 背景关联21条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
393,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar393.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;reappearance_confirmed_frame;background_association_frame,7,45,24,0.291918,2.80894,"SAR393: 选中响应7条, relative结构拒绝45条, A/B/C中心分歧0.291918px, 背景关联24条。 本帧出现后续连续支持的重现确认。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
394,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar394.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,missing_frame;background_association_frame;uniform_sequence_sample,7,35,24,0.450523,1.089659,"SAR394: 选中响应7条, relative结构拒绝35条, A/B/C中心分歧0.450523px, 背景关联24条。 橙色叉号显示relative structure gate实际拒绝了候选。",review_required_for_focus_frames,not_declared_without_manual_focus_review,visual_review_limits_membership_claims
