transition_id,sar_frame,response_track_id,previous_evidence_state,current_evidence_state,highest_evidence_state_reached,support_observation_count,support_unique_frame_count,current_consecutive_support_frames,current_missing_frames,transition_reason
TRANS_D1_R1_000369_RT_D1_R1_0008_001,369,RT_D1_R1_0008,temporarily_missing,terminated,motion_shell_candidate,1,1,0,9,track_missing_or_terminated
TRANS_D1_R1_000369_RT_D1_R1_0009_001,369,RT_D1_R1_0009,temporarily_missing,terminated,motion_shell_candidate,1,1,0,9,track_missing_or_terminated
TRANS_D1_R1_000369_RT_D1_R1_0010_001,369,RT_D1_R1_0010,temporarily_missing,terminated,motion_shell_candidate,1,1,0,9,track_missing_or_terminated
TRANS_D1_R1_000369_RT_D1_R1_0015_002,369,RT_D1_R1_0015,temporarily_missing,reappearance_candidate,reappearance_candidate,2,2,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000370_RT_D1_R1_0001_003,370,RT_D1_R1_0001,temporarily_missing,reappearance_candidate,same_motion_candidate,3,3,1,0,first_hit_after_missing_gap=8;not_auto_supported
TRANS_D1_R1_000370_RT_D1_R1_0002_006,370,RT_D1_R1_0002,reappearance_candidate,reappearance_provisionally_supported,reappearance_provisionally_supported,6,6,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000370_RT_D1_R1_0007_007,370,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappeared_supported,7,7,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000370_RT_D1_R1_0015_003,370,RT_D1_R1_0015,reappearance_candidate,reappearance_provisionally_supported,reappearance_provisionally_supported,3,3,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000371_RT_D1_R1_0001_004,371,RT_D1_R1_0001,reappearance_candidate,reappearance_provisionally_supported,same_motion_candidate,4,4,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000371_RT_D1_R1_0002_007,371,RT_D1_R1_0002,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,7,7,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000371_RT_D1_R1_0007_007,371,RT_D1_R1_0007,reappearance_candidate,temporarily_missing,reappeared_supported,7,7,0,1,track_missing_or_terminated
TRANS_D1_R1_000371_RT_D1_R1_0015_003,371,RT_D1_R1_0015,reappearance_provisionally_supported,temporarily_missing,reappearance_provisionally_supported,3,3,0,1,track_missing_or_terminated
TRANS_D1_R1_000372_RT_D1_R1_0001_005,372,RT_D1_R1_0001,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,5,5,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000372_RT_D1_R1_0002_007,372,RT_D1_R1_0002,reappeared_supported,temporarily_missing,reappeared_supported,7,7,0,1,track_missing_or_terminated
TRANS_D1_R1_000372_RT_D1_R1_0005_009,372,RT_D1_R1_0005,same_motion_supported,temporarily_missing,reappeared_supported,9,9,0,1,track_missing_or_terminated
TRANS_D1_R1_000373_RT_D1_R1_0001_005,373,RT_D1_R1_0001,reappeared_supported,temporarily_missing,reappeared_supported,5,5,0,1,track_missing_or_terminated
TRANS_D1_R1_000373_RT_D1_R1_0004_013,373,RT_D1_R1_0004,same_motion_supported,temporarily_missing,same_motion_supported,13,13,0,1,track_missing_or_terminated
TRANS_D1_R1_000373_RT_D1_R1_0013_011,373,RT_D1_R1_0013,same_motion_supported,temporarily_missing,same_motion_supported,11,11,0,1,track_missing_or_terminated
TRANS_D1_R1_000373_RT_D1_R1_0014_009,373,RT_D1_R1_0014,same_motion_supported,temporarily_missing,same_motion_supported,9,9,0,1,track_missing_or_terminated
TRANS_D1_R1_000374_RT_D1_R1_0002_008,374,RT_D1_R1_0002,temporarily_missing,reappearance_candidate,reappeared_supported,8,8,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000374_RT_D1_R1_0016_001,374,RT_D1_R1_0016,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000374_RT_D1_R1_0017_001,374,RT_D1_R1_0017,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000375_RT_D1_R1_0002_009,375,RT_D1_R1_0002,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,9,9,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000375_RT_D1_R1_0004_014,375,RT_D1_R1_0004,temporarily_missing,reappearance_candidate,same_motion_supported,14,14,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000375_RT_D1_R1_0007_008,375,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappeared_supported,8,8,1,0,first_hit_after_missing_gap=4;not_auto_supported
TRANS_D1_R1_000375_RT_D1_R1_0014_010,375,RT_D1_R1_0014,temporarily_missing,reappearance_candidate,same_motion_supported,10,10,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000375_RT_D1_R1_0016_001,375,RT_D1_R1_0016,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000375_RT_D1_R1_0017_001,375,RT_D1_R1_0017,motion_shell_candidate,temporarily_missing,motion_shell_candidate,1,1,0,1,track_missing_or_terminated
TRANS_D1_R1_000376_RT_D1_R1_0001_006,376,RT_D1_R1_0001,temporarily_missing,reappearance_candidate,reappeared_supported,6,6,1,0,first_hit_after_missing_gap=3;not_auto_supported
TRANS_D1_R1_000376_RT_D1_R1_0002_010,376,RT_D1_R1_0002,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,10,10,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000376_RT_D1_R1_0004_014,376,RT_D1_R1_0004,reappearance_candidate,temporarily_missing,same_motion_supported,14,14,0,1,track_missing_or_terminated
TRANS_D1_R1_000376_RT_D1_R1_0007_009,376,RT_D1_R1_0007,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,9,9,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000376_RT_D1_R1_0014_010,376,RT_D1_R1_0014,reappearance_candidate,temporarily_missing,same_motion_supported,10,10,0,1,track_missing_or_terminated
TRANS_D1_R1_000376_RT_D1_R1_0016_002,376,RT_D1_R1_0016,temporarily_missing,reappearance_candidate,reappearance_candidate,2,2,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000376_RT_D1_R1_0017_002,376,RT_D1_R1_0017,temporarily_missing,reappearance_candidate,reappearance_candidate,2,2,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000377_RT_D1_R1_0001_006,377,RT_D1_R1_0001,reappearance_candidate,temporarily_missing,reappeared_supported,6,6,0,1,track_missing_or_terminated
TRANS_D1_R1_000377_RT_D1_R1_0002_011,377,RT_D1_R1_0002,reappeared_supported,same_motion_supported,reappeared_supported,11,11,4,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000377_RT_D1_R1_0007_009,377,RT_D1_R1_0007,reappearance_provisionally_supported,temporarily_missing,reappeared_supported,9,9,0,1,track_missing_or_terminated
TRANS_D1_R1_000377_RT_D1_R1_0014_011,377,RT_D1_R1_0014,temporarily_missing,reappearance_candidate,same_motion_supported,11,11,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000377_RT_D1_R1_0016_002,377,RT_D1_R1_0016,reappearance_candidate,temporarily_missing,reappearance_candidate,2,2,0,1,track_missing_or_terminated
TRANS_D1_R1_000377_RT_D1_R1_0017_002,377,RT_D1_R1_0017,reappearance_candidate,temporarily_missing,reappearance_candidate,2,2,0,1,track_missing_or_terminated
TRANS_D1_R1_000378_RT_D1_R1_0014_012,378,RT_D1_R1_0014,reappearance_candidate,reappearance_provisionally_supported,same_motion_supported,12,12,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000379_RT_D1_R1_0001_007,379,RT_D1_R1_0001,temporarily_missing,reappearance_candidate,reappeared_supported,7,7,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000379_RT_D1_R1_0007_010,379,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappeared_supported,10,10,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000379_RT_D1_R1_0011_019,379,RT_D1_R1_0011,same_motion_supported,temporarily_missing,same_motion_supported,19,19,0,1,track_missing_or_terminated
TRANS_D1_R1_000379_RT_D1_R1_0014_012,379,RT_D1_R1_0014,reappearance_provisionally_supported,temporarily_missing,same_motion_supported,12,12,0,1,track_missing_or_terminated
TRANS_D1_R1_000379_RT_D1_R1_0015_003,379,RT_D1_R1_0015,temporarily_missing,terminated,reappearance_provisionally_supported,3,3,0,9,track_missing_or_terminated
TRANS_D1_R1_000380_RT_D1_R1_0001_008,380,RT_D1_R1_0001,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,8,8,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000380_RT_D1_R1_0004_015,380,RT_D1_R1_0004,temporarily_missing,reappearance_candidate,same_motion_supported,15,15,1,0,first_hit_after_missing_gap=4;not_auto_supported
TRANS_D1_R1_000380_RT_D1_R1_0005_009,380,RT_D1_R1_0005,temporarily_missing,terminated,reappeared_supported,9,9,0,9,track_missing_or_terminated
TRANS_D1_R1_000380_RT_D1_R1_0007_010,380,RT_D1_R1_0007,reappearance_candidate,temporarily_missing,reappeared_supported,10,10,0,1,track_missing_or_terminated
TRANS_D1_R1_000380_RT_D1_R1_0011_020,380,RT_D1_R1_0011,temporarily_missing,reappearance_candidate,same_motion_supported,20,20,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000380_RT_D1_R1_0016_003,380,RT_D1_R1_0016,temporarily_missing,reappearance_candidate,reappearance_candidate,3,3,1,0,first_hit_after_missing_gap=3;not_auto_supported
TRANS_D1_R1_000381_RT_D1_R1_0001_009,381,RT_D1_R1_0001,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,9,9,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000381_RT_D1_R1_0002_014,381,RT_D1_R1_0002,same_motion_supported,temporarily_missing,reappeared_supported,14,14,0,1,track_missing_or_terminated
TRANS_D1_R1_000381_RT_D1_R1_0004_016,381,RT_D1_R1_0004,reappearance_candidate,reappearance_provisionally_supported,same_motion_supported,16,16,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000381_RT_D1_R1_0007_011,381,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappeared_supported,11,11,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000381_RT_D1_R1_0011_021,381,RT_D1_R1_0011,reappearance_candidate,reappearance_provisionally_supported,same_motion_supported,21,21,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000381_RT_D1_R1_0013_011,381,RT_D1_R1_0013,temporarily_missing,terminated,same_motion_supported,11,11,0,9,track_missing_or_terminated
TRANS_D1_R1_000381_RT_D1_R1_0016_004,381,RT_D1_R1_0016,reappearance_candidate,reappearance_provisionally_supported,reappearance_provisionally_supported,4,4,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000381_RT_D1_R1_0018_001,381,RT_D1_R1_0018,,motion_shell_candidate,motion_shell_candidate,1,1,1,0,new_motion_shell_candidate_created
TRANS_D1_R1_000382_RT_D1_R1_0001_010,382,RT_D1_R1_0001,reappeared_supported,same_motion_supported,reappeared_supported,10,10,4,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000382_RT_D1_R1_0004_017,382,RT_D1_R1_0004,reappearance_provisionally_supported,reappeared_supported,same_motion_supported,17,17,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000382_RT_D1_R1_0007_012,382,RT_D1_R1_0007,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,12,12,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000382_RT_D1_R1_0011_022,382,RT_D1_R1_0011,reappearance_provisionally_supported,reappeared_supported,same_motion_supported,22,22,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000382_RT_D1_R1_0016_004,382,RT_D1_R1_0016,reappearance_provisionally_supported,temporarily_missing,reappearance_provisionally_supported,4,4,0,1,track_missing_or_terminated
TRANS_D1_R1_000382_RT_D1_R1_0018_002,382,RT_D1_R1_0018,motion_shell_candidate,same_motion_candidate,same_motion_candidate,2,2,2,0,temporal_and_structure_supported_but_consecutive_support_not_yet_confirmed
TRANS_D1_R1_000383_RT_D1_R1_0001_010,383,RT_D1_R1_0001,same_motion_supported,temporarily_missing,reappeared_supported,10,10,0,1,track_missing_or_terminated
TRANS_D1_R1_000383_RT_D1_R1_0002_015,383,RT_D1_R1_0002,temporarily_missing,reappearance_candidate,reappeared_supported,15,15,1,0,first_hit_after_missing_gap=2;not_auto_supported
TRANS_D1_R1_000383_RT_D1_R1_0004_018,383,RT_D1_R1_0004,reappeared_supported,same_motion_supported,same_motion_supported,18,18,4,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000383_RT_D1_R1_0007_012,383,RT_D1_R1_0007,reappearance_provisionally_supported,temporarily_missing,reappeared_supported,12,12,0,1,track_missing_or_terminated
TRANS_D1_R1_000383_RT_D1_R1_0011_023,383,RT_D1_R1_0011,reappeared_supported,same_motion_supported,same_motion_supported,23,23,4,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000383_RT_D1_R1_0012_022,383,RT_D1_R1_0012,same_motion_supported,temporarily_missing,same_motion_supported,22,22,0,1,track_missing_or_terminated
TRANS_D1_R1_000383_RT_D1_R1_0016_005,383,RT_D1_R1_0016,temporarily_missing,reappearance_candidate,reappearance_provisionally_supported,5,5,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000383_RT_D1_R1_0018_003,383,RT_D1_R1_0018,same_motion_candidate,same_motion_supported,same_motion_supported,3,3,3,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000384_RT_D1_R1_0001_011,384,RT_D1_R1_0001,temporarily_missing,reappearance_candidate,reappeared_supported,11,11,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000384_RT_D1_R1_0002_016,384,RT_D1_R1_0002,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,16,16,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000384_RT_D1_R1_0012_023,384,RT_D1_R1_0012,temporarily_missing,reappearance_candidate,same_motion_supported,23,23,1,0,first_hit_after_missing_gap=1;not_auto_supported
TRANS_D1_R1_000384_RT_D1_R1_0014_013,384,RT_D1_R1_0014,temporarily_missing,reappearance_candidate,same_motion_supported,13,13,1,0,first_hit_after_missing_gap=5;not_auto_supported
TRANS_D1_R1_000384_RT_D1_R1_0016_005,384,RT_D1_R1_0016,reappearance_candidate,temporarily_missing,reappearance_provisionally_supported,5,5,0,1,track_missing_or_terminated
TRANS_D1_R1_000385_RT_D1_R1_0001_012,385,RT_D1_R1_0001,reappearance_candidate,reappearance_provisionally_supported,reappeared_supported,12,12,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000385_RT_D1_R1_0002_017,385,RT_D1_R1_0002,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,17,17,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000385_RT_D1_R1_0012_024,385,RT_D1_R1_0012,reappearance_candidate,reappearance_provisionally_supported,same_motion_supported,24,24,2,0,provisional_reappearance_after_later_support
TRANS_D1_R1_000385_RT_D1_R1_0014_013,385,RT_D1_R1_0014,reappearance_candidate,temporarily_missing,same_motion_supported,13,13,0,1,track_missing_or_terminated
TRANS_D1_R1_000385_RT_D1_R1_0017_002,385,RT_D1_R1_0017,temporarily_missing,terminated,reappearance_candidate,2,2,0,9,track_missing_or_terminated
TRANS_D1_R1_000386_RT_D1_R1_0001_013,386,RT_D1_R1_0001,reappearance_provisionally_supported,reappeared_supported,reappeared_supported,13,13,3,0,confirmed_reappearance_after_consecutive_support
TRANS_D1_R1_000386_RT_D1_R1_0002_018,386,RT_D1_R1_0002,reappeared_supported,same_motion_supported,reappeared_supported,18,18,4,0,unique_frames_consecutive_support_and_all_structure_gates_pass
TRANS_D1_R1_000386_RT_D1_R1_0007_013,386,RT_D1_R1_0007,temporarily_missing,reappearance_candidate,reappeared_supported,13,13,1,0,first_hit_after_missing_gap=3;not_auto_supported
