blind_review_id,blind_frame_id,blind_object_id,response_box_id,assisted_vehicle_core_support,assisted_optional_membership_support,assisted_background_support,assisted_unresolved,assisted_decisive_reason,raw_vs_assisted_change,assisted_visual_confidence,assisted_png
R2AST_0001,R2_BLIND_FRAME_001,R2_BLIND_OBJECT_001,R2B0001,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0012,R2_BLIND_FRAME_007,R2_BLIND_OBJECT_012,R2B0012,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0013,R2_BLIND_FRAME_007,R2_BLIND_OBJECT_013,R2B0013,false,true,false,false,assisted overlay shows only side or endpoint support without a stable body core; part-only support,raw_background_to_assisted_vehicle_part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0014,R2_BLIND_FRAME_008,R2_BLIND_OBJECT_014,R2B0014,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0015,R2_BLIND_FRAME_008,R2_BLIND_OBJECT_015,R2B0015,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0016,R2_BLIND_FRAME_008,R2_BLIND_OBJECT_016,R2B0016,false,true,false,false,assisted overlay shows only side or endpoint support without a stable body core; part-only support,raw_unresolved_to_assisted_vehicle_part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0017,R2_BLIND_FRAME_009,R2_BLIND_OBJECT_017,R2B0017,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0018,R2_BLIND_FRAME_009,R2_BLIND_OBJECT_018,R2B0018,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_background_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0019,R2_BLIND_FRAME_009,R2_BLIND_OBJECT_019,R2B0019,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0020,R2_BLIND_FRAME_010,R2_BLIND_OBJECT_020,R2B0020,false,true,false,false,assisted overlay shows only side or endpoint support without a stable body core; part-only support,raw_background_to_assisted_vehicle_part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0021,R2_BLIND_FRAME_011,R2_BLIND_OBJECT_021,R2B0021,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0022,R2_BLIND_FRAME_012,R2_BLIND_OBJECT_022,R2B0022,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0023,R2_BLIND_FRAME_012,R2_BLIND_OBJECT_023,R2B0023,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_001.png
R2AST_0024,R2_BLIND_FRAME_013,R2_BLIND_OBJECT_024,R2B0024,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0025,R2_BLIND_FRAME_013,R2_BLIND_OBJECT_025,R2B0025,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0026,R2_BLIND_FRAME_014,R2_BLIND_OBJECT_026,R2B0026,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0027,R2_BLIND_FRAME_014,R2_BLIND_OBJECT_027,R2B0027,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0028,R2_BLIND_FRAME_015,R2_BLIND_OBJECT_028,R2B0028,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0029,R2_BLIND_FRAME_015,R2_BLIND_OBJECT_029,R2B0029,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0030,R2_BLIND_FRAME_016,R2_BLIND_OBJECT_030,R2B0030,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0031,R2_BLIND_FRAME_016,R2_BLIND_OBJECT_031,R2B0031,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0032,R2_BLIND_FRAME_017,R2_BLIND_OBJECT_032,R2B0032,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0033,R2_BLIND_FRAME_017,R2_BLIND_OBJECT_033,R2B0033,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0034,R2_BLIND_FRAME_018,R2_BLIND_OBJECT_034,R2B0034,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,raw_background_to_assisted_unresolved,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0035,R2_BLIND_FRAME_019,R2_BLIND_OBJECT_035,R2B0035,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,raw_background_to_assisted_unresolved,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0036,R2_BLIND_FRAME_020,R2_BLIND_OBJECT_036,R2B0036,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,raw_background_to_assisted_unresolved,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0037,R2_BLIND_FRAME_021,R2_BLIND_OBJECT_037,R2B0037,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,raw_background_to_assisted_unresolved,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0038,R2_BLIND_FRAME_022,R2_BLIND_OBJECT_038,R2B0038,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,raw_background_to_assisted_unresolved,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0039,R2_BLIND_FRAME_023,R2_BLIND_OBJECT_039,R2B0039,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,raw_vehicle_part_to_assisted_unresolved,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0040,R2_BLIND_FRAME_024,R2_BLIND_OBJECT_040,R2B0040,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0041,R2_BLIND_FRAME_024,R2_BLIND_OBJECT_041,R2B0041,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_unresolved_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_002.png
R2AST_0042,R2_BLIND_FRAME_025,R2_BLIND_OBJECT_042,R2B0042,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,unchanged,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0043,R2_BLIND_FRAME_026,R2_BLIND_OBJECT_043,R2B0043,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,unchanged,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0044,R2_BLIND_FRAME_027,R2_BLIND_OBJECT_044,R2B0044,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,unchanged,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0045,R2_BLIND_FRAME_028,R2_BLIND_OBJECT_045,R2B0045,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0046,R2_BLIND_FRAME_028,R2_BLIND_OBJECT_046,R2B0046,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0047,R2_BLIND_FRAME_029,R2_BLIND_OBJECT_047,R2B0047,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0048,R2_BLIND_FRAME_029,R2_BLIND_OBJECT_048,R2B0048,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0049,R2_BLIND_FRAME_030,R2_BLIND_OBJECT_049,R2B0049,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0050,R2_BLIND_FRAME_030,R2_BLIND_OBJECT_050,R2B0050,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0051,R2_BLIND_FRAME_031,R2_BLIND_OBJECT_051,R2B0051,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0052,R2_BLIND_FRAME_031,R2_BLIND_OBJECT_052,R2B0052,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0053,R2_BLIND_FRAME_032,R2_BLIND_OBJECT_053,R2B0053,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,unchanged,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0054,R2_BLIND_FRAME_033,R2_BLIND_OBJECT_054,R2B0054,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0055,R2_BLIND_FRAME_033,R2_BLIND_OBJECT_055,R2B0055,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0056,R2_BLIND_FRAME_034,R2_BLIND_OBJECT_056,R2B0056,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0057,R2_BLIND_FRAME_034,R2_BLIND_OBJECT_057,R2B0057,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0058,R2_BLIND_FRAME_035,R2_BLIND_OBJECT_058,R2B0058,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0059,R2_BLIND_FRAME_035,R2_BLIND_OBJECT_059,R2B0059,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0060,R2_BLIND_FRAME_036,R2_BLIND_OBJECT_060,R2B0060,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0061,R2_BLIND_FRAME_036,R2_BLIND_OBJECT_061,R2B0061,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_003.png
R2AST_0062,R2_BLIND_FRAME_037,R2_BLIND_OBJECT_062,R2B0062,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0063,R2_BLIND_FRAME_037,R2_BLIND_OBJECT_063,R2B0063,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0064,R2_BLIND_FRAME_037,R2_BLIND_OBJECT_064,R2B0064,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0065,R2_BLIND_FRAME_038,R2_BLIND_OBJECT_065,R2B0065,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0066,R2_BLIND_FRAME_038,R2_BLIND_OBJECT_066,R2B0066,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0067,R2_BLIND_FRAME_039,R2_BLIND_OBJECT_067,R2B0067,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0068,R2_BLIND_FRAME_039,R2_BLIND_OBJECT_068,R2B0068,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0069,R2_BLIND_FRAME_040,R2_BLIND_OBJECT_069,R2B0069,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_vehicle_part_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0070,R2_BLIND_FRAME_040,R2_BLIND_OBJECT_070,R2B0070,true,false,false,false,assisted overlay shows green body/core support with compatible local response; GT not used,raw_background_to_assisted_vehicle_core,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
R2AST_0071,R2_BLIND_FRAME_041,R2_BLIND_OBJECT_071,R2B0071,false,false,false,true,assisted overlay lacks decisive core closure or compatible optional support; remains unresolved,unchanged,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_assisted_sheet_004.png
