case_id,family_id,sar_frame,error_type,reason_cn,provenance
R21ERR0001,R21F00001,27,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0,raw_primary_eval_only
R21ERR0017,R21F00010,40,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0018,R21F00011,46,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0019,R21F00011,46,assisted_overlay_induced_background_change,assisted_overlay_induced_background_change: raw=unresolved; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0020,R21F00011,46,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0021,R21F00012,52,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0022,R21F00012,52,assisted_overlay_induced_background_change,assisted_overlay_induced_background_change: raw=unresolved; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0023,R21F00012,52,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0024,R21F00013,60,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0025,R21F00013,60,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0026,R21F00014,60,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0027,R21F00015,77,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0,raw_primary_eval_only
R21ERR0028,R21F00015,77,exact_gt_background_inclusion,exact_gt_background_inclusion: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0,raw_primary_eval_only
R21ERR0029,R21F00016,78,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0030,R21F00016,78,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0031,R21F00017,79,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0032,R21F00017,79,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0033,R21F00018,80,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0034,R21F00018,80,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0035,R21F00019,81,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=true; IoU=0.270386,raw_primary_eval_only
R21ERR0036,R21F00019,81,exact_gt_vehicle_part_exclusion,exact_gt_vehicle_part_exclusion: raw=background; assisted=background_or_misled; exact_gt=true; IoU=0.270386,raw_primary_eval_only
R21ERR0037,R21F00020,212,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0.041526,raw_primary_eval_only
R21ERR0038,R21F00020,212,exact_gt_vehicle_part_exclusion,exact_gt_vehicle_part_exclusion: raw=unresolved; assisted=unresolved; exact_gt=true; IoU=0.041526,raw_primary_eval_only
R21ERR0039,R21F00021,213,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0040,R21F00021,213,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0041,R21F00022,216,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0042,R21F00022,216,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=unresolved; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0043,R21F00023,220,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0044,R21F00024,224,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0045,R21F00024,224,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0046,R21F00025,227,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0047,R21F00025,227,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0048,R21F00026,228,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0049,R21F00026,228,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0050,R21F00027,238,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=true; IoU=0.567172,raw_primary_eval_only
R21ERR0051,R21F00028,239,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0052,R21F00028,239,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0053,R21F00029,243,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0054,R21F00029,243,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0055,R21F00030,250,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0056,R21F00030,250,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0057,R21F00031,259,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=vehicle_response; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0058,R21F00032,260,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=vehicle_response; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0059,R21F00033,262,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0060,R21F00033,262,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0061,R21F00034,263,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0062,R21F00034,263,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0063,R21F00035,269,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=true; IoU=0.379545,raw_primary_eval_only
R21ERR0064,R21F00036,270,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0065,R21F00037,271,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=vehicle_response; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0066,R21F00038,272,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0067,R21F00039,273,current_evidence_no_mechanism_error_found,current_evidence_no_mechanism_error_found: raw=vehicle_response; assisted=vehicle_response; exact_gt=true; IoU=0.347176,raw_primary_eval_only
R21ERR0068,R21F00040,273,current_evidence_no_mechanism_error_found,current_evidence_no_mechanism_error_found: raw=background; assisted=background_or_misled; exact_gt=true; IoU=0,raw_primary_eval_only
R21ERR0069,R21F00041,276,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0070,R21F00041,276,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0071,R21F00042,278,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0072,R21F00042,278,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0073,R21F00043,279,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0074,R21F00043,279,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0075,R21F00044,280,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0076,R21F00044,280,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0077,R21F00045,281,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=vehicle_response; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0078,R21F00046,284,raw_background_runtime_acceptance,raw_background_runtime_acceptance: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0079,R21F00046,284,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=background; assisted=background_or_misled; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0080,R21F00047,288,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=true; IoU=0.357273,raw_primary_eval_only
R21ERR0081,R21F00048,289,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0082,R21F00048,289,not_evaluable_no_exact_gt,not_evaluable_no_exact_gt: raw=unresolved; assisted=mechanism_partial; exact_gt=false; IoU=,raw_primary_eval_only
R21ERR0083,R21F00049,290,raw_unresolved_runtime_acceptance,raw_unresolved_runtime_acceptance: raw=unresolved; assisted=mechanism_partial; exact_gt=true; IoU=0.363579,raw_primary_eval_only
