"node_id","window_id","scene","node_type","source_file","source_row_reference","node_label_cn","node_state","evidence_permission","posthoc_only","runtime_safe","notes"
"N_GM011_T001_REL","GM_RM011_WGV14T001","GM_RM011","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W001","T001机制关系","optical_strong_sar_posthoc_support_available_but_mapping_unresolved","design_instance_only","yes","no","Relation remains posthoc and mapping-unresolved."
"N_GM011_T004_THREAD","GM_RM011_WGV14T004","GM_RM011","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM011_WGV14T004","T004光学线程","accepted;optical_identity_constraint","pre_sar_only","yes","optical_review_only","Accepted optical window is not SAR-ready."
"N_GM011_T004_STATE","GM_RM011_WGV14T004","GM_RM011","optical_behavior_state_node","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","window_id=WGV18W003;frame_range=151-166","T004边缘截断状态","edge_contact;partial_vehicle;local_competition","posthoc_mechanism_explanation_only","yes","no_runtime_prediction_use","State supports mechanism reading only."
"N_GM011_T004_SARMORPH","GM_RM011_WGV14T004","GM_RM011","sar_morphology_node","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","window_id=WGV18W003","T004区域SAR形态摘要","enclosed_shell;corner_hotspot;side_ridge;multi_vehicle_context","posthoc_sar_mechanism_only","yes","no","Morphology is traceable by prior summary but not thread-mapped."
"N_GM011_T004_GEOM","GM_RM011_WGV14T004","GM_RM011","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T004","T004几何可行域","mapping_not_testable_missing_sources","feasible_domain_only","yes","no","GM_RM011 direct azimuth source is missing."
"N_GM011_T004_BOUND","GM_RM011_WGV14T004","GM_RM011","boundary_competition_node","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","window_id=WGV18W003","T004局部竞争","multi_vehicle_competition;subject_transition_context","competitor_risk_context","yes","no","Competition weakens any cross-modal identity interpretation."
"N_GM011_T004_PERM","GM_RM011_WGV14T004","GM_RM011","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T004","T004证据权限","pre_sar_only","permission_gate","yes","no","SAR use requires independent SAR-internal evidence and mapping."
"N_GM011_T004_REL","GM_RM011_WGV14T004","GM_RM011","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W002","T004机制关系","optical_strong_sar_posthoc_support_available_but_mapping_unresolved","design_instance_only","yes","no","Mechanism relation is meaningful but unresolved."
"N_GM011_T005_THREAD","GM_RM011_WGV14T005","GM_RM011","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM011_WGV14T005","T005长窗搜索提示","accepted_but_optical_search_hint_only","pre_sar_only","yes","optical_review_only","Long window is visually stable but conservative."
"N_GM011_T005_STATE","GM_RM011_WGV14T005","GM_RM011","optical_behavior_state_node","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","window_id=WGV18W004","T005长窗行为状态","visible_unboxed_gap;same_color_competitor;near_field_truncation","posthoc_mechanism_explanation_only","yes","no_runtime_prediction_use","State explains ambiguity without upgrading identity."
"N_GM011_T005_SARMORPH","GM_RM011_WGV14T005","GM_RM011","sar_morphology_node","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","window_id=WGV18W004","T005稀疏SAR参考","corner_hotspot;side_ridge;sparse_traceable_rows","posthoc_sar_mechanism_only","yes","no","Sparse posthoc morphology cannot support long-window identity."
"N_GM011_T005_GEOM","GM_RM011_WGV14T005","GM_RM011","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T005","T005几何可行域","mapping_not_testable_missing_sources","feasible_domain_only","yes","no","No direct GM_RM011 azimuth/object-stream mapping source."
"N_GM011_T005_BOUND","GM_RM011_WGV14T005","GM_RM011","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM011_WGV12M016","T005末端M016竞争","same_color_suv_competitor;M016_hard_boundary_context","boundary_protection","yes","no","M016 prevents identity consumption of the long window."
"N_GM011_T005_PERM","GM_RM011_WGV14T005","GM_RM011","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV14T005","T005证据权限","pre_sar_only;search_hint_only","permission_gate","yes","no","Search hint cannot constrain SAR identity."
"N_GM011_T005_REL","GM_RM011_WGV14T005","GM_RM011","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W003","T005机制关系","optical_search_hint_sar_support_ambiguous","design_instance_only","yes","no","Ambiguous mechanism relation only."
"N_GM011_M005_THREAD","GM_RM011_M005","GM_RM011","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","item_id=GM_RM011_WGV12M005","M005边界边","context_only;boundary_preserved","boundary_protection","yes","no","Boundary edge is represented as graph input, not thread identity."
"N_GM011_M005_STATE","GM_RM011_M005","GM_RM011","optical_behavior_state_node","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","window_id=WGV18W005","M005主体替换状态","boundary_replacement;same_color_competitor;blocked_identity_risk","boundary_protection","yes","no","Same color increases merge risk."
"N_GM011_M005_SARMORPH","GM_RM011_M005","GM_RM011","sar_morphology_node","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","window_id=WGV18W005","M005边界SAR参考","side_ridge;corner_hotspot;neighbor_background_mixed","posthoc_boundary_reference_only","yes","no","SAR reference supports audit, not bridging."
"N_GM011_M005_GEOM","GM_RM011_M005","GM_RM011","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV12M005","M005几何阻断域","mapping_blocked_by_boundary_or_competitor","boundary_feasible_domain_only","yes","no","All tested offsets are blocked by boundary logic."
"N_GM011_M005_BOUND","GM_RM011_M005","GM_RM011","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM011_WGV12M005","M005硬边界","right_near_field_white_car_vs_front_facing_white_car","boundary_protection","yes","no","Do not bridge this edge."
"N_GM011_M005_PERM","GM_RM011_M005","GM_RM011","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV12M005","M005权限","pre_sar_only;boundary_preserved","permission_gate","yes","no","Only later protocol with SAR-internal boundary evidence may revisit."
"N_GM011_M005_REL","GM_RM011_M005","GM_RM011","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W004","M005机制关系","boundary_preserved_sar_mapping_blocked","design_instance_only","yes","no","Boundary is a positive graph result."
"N_GM011_M016_THREAD","GM_RM011_M016","GM_RM011","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","item_id=GM_RM011_WGV12M016","M016边界边","context_only;boundary_preserved","boundary_protection","yes","no","Boundary edge blocks same-color merge."
"N_GM011_M016_STATE","GM_RM011_M016","GM_RM011","optical_behavior_state_node","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","window_id=WGV18W006","M016同色竞争状态","boundary_replacement;same_color_competitor;multi_vehicle_competition","boundary_protection","yes","no","High identity risk near 288-292."
"N_GM011_M016_SARMORPH","GM_RM011_M016","GM_RM011","sar_morphology_node","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","window_id=WGV18W006","M016 SAR证据缺口","none_traceable;insufficient_evidence","posthoc_boundary_reference_only","yes","no","No traceable SAR GT-local row for the boundary."
"N_GM011_M016_GEOM","GM_RM011_M016","GM_RM011","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV12M016","M016几何阻断域","mapping_blocked_by_boundary_or_competitor","boundary_feasible_domain_only","yes","no","Mapping is blocked, not merely uncertain."
"N_GM011_M016_BOUND","GM_RM011_M016","GM_RM011","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM011_WGV12M016","M016硬边界","right_near_field_white_car_vs_left_white_suv","boundary_protection","yes","no","Do not merge across M016."
"N_GM011_M016_PERM","GM_RM011_M016","GM_RM011","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM011_WGV12M016","M016权限","pre_sar_only;boundary_preserved","permission_gate","yes","no","Blocked until independent SAR boundary evidence and later protocol."
"N_GM011_M016_REL","GM_RM011_M016","GM_RM011","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W005","M016机制关系","boundary_preserved_sar_mapping_blocked","design_instance_only","yes","no","Boundary remains preserved."
"N_GM017_T001_THREAD","GM_RM017_WGV14T001","GM_RM017","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM017_WGV14T001","T001弱光学线程","weak_but_usable;optical_search_hint_only","pre_sar_only","yes","optical_review_only","Weak thread is not upgraded."
"N_GM017_T001_STATE","GM_RM017_WGV14T001","GM_RM017","optical_behavior_state_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM017_WGV14T001","T001遮挡距离状态","distant;partly_occluded;black_sedan_interleaved","posthoc_mechanism_explanation_only","yes","no_runtime_prediction_use","Optical ambiguity remains."
"N_GM017_T001_SARMORPH","GM_RM017_WGV14T001","GM_RM017","sar_morphology_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W006","T001混合SAR后验证据","vehicle_like_scatter;temporal_continuity;unknown;competitor_signal","posthoc_sar_mechanism_only","yes","no","Overlap is mixed with risk."
"N_GM017_T001_SARDT","GM_RM017_WGV14T001","GM_RM017","sar_temporal_drift_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W006","T001方位时间模糊带","ambiguous_posthoc_overlap_band_-12..+12","posthoc_proxy_only","yes","no","No unique offset selected."
"N_GM017_T001_GEOM","GM_RM017_WGV14T001","GM_RM017","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W006","T001几何代理域","azimuth_temporal_mapping_ambiguous","feasible_domain_only","yes","no","Admissible only for SAR-only evidence discovery prioritization."
"N_GM017_T001_BOUND","GM_RM017_WGV14T001","GM_RM017","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM017_WGV12M002;GM_RM017_WGV12M003;GM_RM017_WGV12M004","T001上下文竞争","context_only_edges_near_M002_M004","boundary_protection","yes","no","Context edges are not same-vehicle proof."
"N_GM017_T001_PERM","GM_RM017_WGV14T001","GM_RM017","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM017_WGV14T001","T001权限","pre_sar_only;search_hint_only","permission_gate","yes","no","Weak optical thread remains weak."
"N_GM017_T001_REL","GM_RM017_WGV14T001","GM_RM017","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W006","T001机制关系","weak_optical_remains_weak","design_instance_only","yes","no","Conservativeness-validation relation."
"N_GM017_T002_THREAD","GM_RM017_WGV14T002","GM_RM017","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM017_WGV14T002","T002弱光学线程","weak_but_usable;optical_search_hint_only","pre_sar_only","yes","optical_review_only","Long black-sedan bridge remains weak."
"N_GM017_T002_STATE","GM_RM017_WGV14T002","GM_RM017","optical_behavior_state_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM017_WGV14T002","T002长桥接状态","long_bridge;white_suv_interleaving;identity_risk","posthoc_mechanism_explanation_only","yes","no_runtime_prediction_use","Do not upgrade long bridge."
"N_GM017_T002_SARMORPH","GM_RM017_WGV14T002","GM_RM017","sar_morphology_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W007","T002混合SAR后验证据","vehicle_like_scatter;temporal_continuity;competitor_signal;background_risk","posthoc_sar_mechanism_only","yes","no","Large overlap still mixed with risk."
"N_GM017_T002_SARDT","GM_RM017_WGV14T002","GM_RM017","sar_temporal_drift_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W007","T002方位时间模糊带","ambiguous_posthoc_overlap_band_-12..+12","posthoc_proxy_only","yes","no","No resolved offset."
"N_GM017_T002_GEOM","GM_RM017_WGV14T002","GM_RM017","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W007","T002几何代理域","azimuth_temporal_mapping_ambiguous","feasible_domain_only","yes","no","Posthoc proxy only."
"N_GM017_T002_BOUND","GM_RM017_WGV14T002","GM_RM017","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM017_WGV12M006-M009;GM_RM017_WGV14V004","T002竞争和V004风险","context_only_edges;blocked_bridge_identity_risk","boundary_protection","yes","no","V004 bridge is not upgraded."
"N_GM017_T002_PERM","GM_RM017_WGV14T002","GM_RM017","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM017_WGV14T002","T002权限","pre_sar_only;search_hint_only","permission_gate","yes","no","Posthoc overlap cannot upgrade weak optical identity."
"N_GM017_T002_REL","GM_RM017_WGV14T002","GM_RM017","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W007","T002机制关系","weak_optical_remains_weak","design_instance_only","yes","no","Weak remains weak."
"N_GM017_T003_THREAD","GM_RM017_WGV14T003","GM_RM017","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM017_WGV14T003","T003弱光学线程","weak_but_usable;optical_search_hint_only","pre_sar_only","yes","optical_review_only","White SUV thread remains weak."
"N_GM017_T003_STATE","GM_RM017_WGV14T003","GM_RM017","optical_behavior_state_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","item_id=GM_RM017_WGV14T003","T003主框修复状态","primary_box_repair;black_sedan_and_box_truck_competition","posthoc_mechanism_explanation_only","yes","no_runtime_prediction_use","Primary repair is not class upgrade."
"N_GM017_T003_SARMORPH","GM_RM017_WGV14T003","GM_RM017","sar_morphology_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W008","T003混合SAR后验证据","vehicle_like_scatter;temporal_continuity;unknown;competitor_signal","posthoc_sar_mechanism_only","yes","no","Posthoc evidence is mixed with risk."
"N_GM017_T003_SARDT","GM_RM017_WGV14T003","GM_RM017","sar_temporal_drift_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W008","T003方位时间模糊带","ambiguous_posthoc_overlap_band_-12..+12","posthoc_proxy_only","yes","no","No resolved offset."
"N_GM017_T003_GEOM","GM_RM017_WGV14T003","GM_RM017","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W008","T003几何代理域","azimuth_temporal_mapping_ambiguous","feasible_domain_only","yes","no","Proxy cannot choose SAR identity."
"N_GM017_T003_BOUND","GM_RM017_WGV14T003","GM_RM017","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","source_edge_id=GM_RM017_WGV12M005-M009","T003竞争上下文","M005 weak primary repair plus M006-M009 context_only edges","boundary_protection","yes","no","Competition blocks upgrade."
"N_GM017_T003_PERM","GM_RM017_WGV14T003","GM_RM017","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM017_WGV14T003","T003权限","pre_sar_only;search_hint_only","permission_gate","yes","no","Weak thread remains search hint only."
"N_GM017_T003_REL","GM_RM017_WGV14T003","GM_RM017","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W008","T003机制关系","weak_optical_remains_weak","design_instance_only","yes","no","No upgrade."
"N_GM017_V004_THREAD","GM_RM017_WGV14V004","GM_RM017","optical_thread_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","item_id=GM_RM017_WGV14V004","V004风险桥","identity_risk;blocked_for_sar_consumption","blocked_for_sar_consumption","yes","no","Blocked item is represented only to prevent leakage."
"N_GM017_V004_STATE","GM_RM017_WGV14V004","GM_RM017","optical_behavior_state_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","item_id=GM_RM017_WGV14V004","V004长桥接风险","long_interleaved_bridge;identity_risk","blocked_for_sar_consumption","yes","no","Do not instantiate final object identity."
"N_GM017_V004_SARMORPH","GM_RM017_WGV14V004","GM_RM017","sar_morphology_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W009","V004后验重叠但阻断","vehicle_like_scatter;temporal_continuity;competitor_signal;unknown","posthoc_sar_mechanism_only","yes","no","Inherited overlap cannot override blocked class."
"N_GM017_V004_SARDT","GM_RM017_WGV14V004","GM_RM017","sar_temporal_drift_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W009","V004阻断偏移带","all_offsets_blocked_by_identity_risk","blocked_for_sar_consumption","yes","no","Temporal overlap is blocked."
"N_GM017_V004_GEOM","GM_RM017_WGV14V004","GM_RM017","geometry_feasible_domain_node","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","window_id=WGV16W009","V004几何阻断域","mapping_blocked_by_boundary_or_competitor","boundary_feasible_domain_only","yes","no","Blocked regardless of overlap."
"N_GM017_V004_BOUND","GM_RM017_WGV14V004","GM_RM017","boundary_competition_node","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","item_id=GM_RM017_WGV14V004","V004身份风险边","black_sedan_bridge_interleaved_with_white_suv_context","identity_risk_block","yes","no","Blocks relation upgrade."
"N_GM017_V004_PERM","GM_RM017_WGV14V004","GM_RM017","evidence_permission_node","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","optical_thread_or_edge_id=GM_RM017_WGV14V004","V004权限","blocked_for_sar_consumption","permission_gate","yes","no","No SAR use for target construction."
"N_GM017_V004_REL","GM_RM017_WGV14V004","GM_RM017","mechanism_relation_node","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","window_id=WGV16W009","V004机制关系","blocked_identity_risk_preserved","design_instance_only","yes","no","Blocked identity risk remains blocked."
