review_id,sar_frame,review_object_type,object_id,parent_object_ids,proposed_role,same_vehicle_support,background_support,uncertain,physical_reason_cn,temporal_reason_cn,rejection_reason_cn,runtime_png,eval_png
RV8A_011,78,vehicle_structure_hypothesis,S8A_F078_011,A8A_F078_004,body_core,true,false,false,白车 78-81 下侧核心在水平背景弧线下方保留；body_core 只支持局部车辆响应，红色弧线未并入车辆实体。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_012,78,vehicle_structure_hypothesis,S8A_F078_012,A8A_F078_003,background_arc,false,true,false,图上 background_arc 更像沿扇形/道路背景延展的弧线或横向线状响应，缺少车辆尺度闭合。,正向短窗内有局部延续线索，但不足以证明完整同车响应。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_013,79,vehicle_structure_hypothesis,S8A_F079_013,A8A_F079_004,body_core,true,false,false,白车 78-81 下侧核心在水平背景弧线下方保留；body_core 只支持局部车辆响应，红色弧线未并入车辆实体。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_014,79,vehicle_structure_hypothesis,S8A_F079_014,A8A_F079_001,background_arc,false,true,false,图上 background_arc 更像沿扇形/道路背景延展的弧线或横向线状响应，缺少车辆尺度闭合。,正向短窗内有局部延续线索，但不足以证明完整同车响应。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_015,80,vehicle_structure_hypothesis,S8A_F080_015,A8A_F080_004,body_core,true,false,false,白车 78-81 下侧核心在水平背景弧线下方保留；body_core 只支持局部车辆响应，红色弧线未并入车辆实体。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_016,80,vehicle_structure_hypothesis,S8A_F080_016,A8A_F080_001,background_arc,false,true,false,图上 background_arc 更像沿扇形/道路背景延展的弧线或横向线状响应，缺少车辆尺度闭合。,正向短窗内有局部延续线索，但不足以证明完整同车响应。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_017,81,vehicle_structure_hypothesis,S8A_F081_017,A8A_F081_004,body_core,true,false,false,白车 78-81 下侧核心在水平背景弧线下方保留；body_core 只支持局部车辆响应，红色弧线未并入车辆实体。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_018,81,vehicle_structure_hypothesis,S8A_F081_018,A8A_F081_002,background_arc,false,true,false,图上 background_arc 更像沿扇形/道路背景延展的弧线或横向线状响应，缺少车辆尺度闭合。,正向短窗内有局部延续线索，但不足以证明完整同车响应。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_white_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_019,212,vehicle_structure_hypothesis,S8A_F212_019,A8A_F212_001,unresolved_atom,false,false,true,图上对象 unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_a.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_020,213,vehicle_structure_hypothesis,S8A_F213_020,A8A_F213_001;A8A_F213_003,unresolved_atom,false,false,true,图上对象 unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_a.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_021,220,vehicle_structure_hypothesis,S8A_F220_021,A8A_F220_001,body_core,false,true,false,图上对象更符合 body_core 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,尺度、空白或孤立性不足以支持车辆结构。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_a.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_022,227,vehicle_structure_hypothesis,S8A_F227_022,A8A_F227_001,body_core,false,true,false,图上对象更符合 body_core 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,尺度、空白或孤立性不足以支持车辆结构。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_a.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_023,238,vehicle_structure_hypothesis,S8A_F238_023,A8A_F238_001,side_ridge,false,true,false,图上对象更符合 side_ridge 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,尺度、空白或孤立性不足以支持车辆结构。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_a.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_024,239,vehicle_structure_hypothesis,S8A_F239_024,A8A_F239_001;A8A_F239_004,endpoint_hotspot;unresolved_atom,false,false,true,图上对象 endpoint_hotspot;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_025,243,vehicle_structure_hypothesis,S8A_F243_025,A8A_F243_001;A8A_F243_002,endpoint_hotspot;unresolved_atom,false,false,true,图上对象 endpoint_hotspot;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_026,250,vehicle_structure_hypothesis,S8A_F250_026,A8A_F250_001,unresolved_atom,false,false,true,图上对象 unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_027,260,vehicle_structure_hypothesis,S8A_F260_027,A8A_F260_001;A8A_F260_003,unresolved_atom,false,false,true,图上对象 unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_028,269,vehicle_structure_hypothesis,S8A_F269_028,A8A_F269_001;A8A_F269_002,unresolved_atom,false,true,false,图上对象更符合 unresolved_atom 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,尺度、空白或孤立性不足以支持车辆结构。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_029,270,vehicle_structure_hypothesis,S8A_F270_029,A8A_F270_002;A8A_F270_004,body_core;unresolved_atom,true,false,false,银车正向短窗中底部核心/短脊线较弱但可见；body_core;unresolved_atom 作为条件车辆响应，远侧弧线或孤立点不并入。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_030,271,vehicle_structure_hypothesis,S8A_F271_030,A8A_F271_001;A8A_F271_002,unresolved_atom,true,false,false,银车正向短窗中底部核心/短脊线较弱但可见；unresolved_atom 作为条件车辆响应，远侧弧线或孤立点不并入。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_031,272,vehicle_structure_hypothesis,S8A_F272_031,A8A_F272_001,unresolved_atom,false,false,true,图上对象 unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,正向短窗内有局部延续线索，但不足以证明完整同车响应。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_032,273,vehicle_structure_hypothesis,S8A_F273_032,A8A_F273_001;A8A_F273_002,side_ridge;unresolved_atom,true,false,false,银车正向短窗中底部核心/短脊线较弱但可见；side_ridge;unresolved_atom 作为条件车辆响应，远侧弧线或孤立点不并入。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_033,276,vehicle_structure_hypothesis,S8A_F276_033,A8A_F276_001;A8A_F276_002,side_ridge;unresolved_atom,false,false,true,图上对象 side_ridge;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_034,280,vehicle_structure_hypothesis,S8A_F280_034,A8A_F280_001;A8A_F280_002,unresolved_atom,false,true,false,图上对象更符合 unresolved_atom 的背景/孤立响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_035,284,vehicle_structure_hypothesis,S8A_F284_035,A8A_F284_002,body_core,false,false,true,图上对象 body_core 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_036,284,vehicle_structure_hypothesis,S8A_F284_036,A8A_F284_001,background_arc,false,true,false,图上 background_arc 更像沿扇形/道路背景延展的弧线或横向线状响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_037,288,vehicle_structure_hypothesis,S8A_F288_037,A8A_F288_003;A8A_F288_004,unresolved_atom,false,false,true,图上对象 unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,负向/不确定窗口不允许跨长缺口声称同车恢复。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_038,288,vehicle_structure_hypothesis,S8A_F288_038,A8A_F288_001,background_arc,false,true,false,图上 background_arc 更像沿扇形/道路背景延展的弧线或横向线状响应，缺少车辆尺度闭合。,负向/不确定窗口不允许跨长缺口声称同车恢复。,弧线一致性或背景冲突触发，不能靠强度或光学方向进入车辆实体。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_negative_atom_structure_sheet_b.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_039,289,vehicle_structure_hypothesis,S8A_F289_039,A8A_F289_002;A8A_F289_006;A8A_F289_008,body_core;side_ridge;unresolved_atom,true,false,false,银车正向短窗中底部核心/短脊线较弱但可见；body_core;side_ridge;unresolved_atom 作为条件车辆响应，远侧弧线或孤立点不并入。,同一正向短窗内可见相邻帧非跳变响应，支持部件级短时连续。,,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
RV8A_040,290,vehicle_structure_hypothesis,S8A_F290_040,A8A_F290_001;A8A_F290_002,side_ridge;unresolved_atom,false,false,true,图上对象 side_ridge;unresolved_atom 与车辆部件关系不充分，物理尺度字段不足以判定。,正向短窗内有局部延续线索，但不足以证明完整同车响应。,证据不足，保留不可判断。,outputs/wgv3_6a_a1_8a_20260711/a1_8a_silver_positive_atom_structure_sheet.png,outputs/wgv3_6a_a1_8a_20260711/a1_8a_eval_only_target_overlay_sheet.png
