fragment_id,scene_id,frame_start,frame_end,accepted_status,identity_safety_status,source_candidate_node_ids,span_frame_count,selected_frame_count,selected_manifest_row_count,unique_detection_count,pack_frames_yolo_count,class_names,x_bin_sequence,x_bin_set,max_center_jump_px,duplicate_source_detection_count,risk_flags,v1_2_mechanism_recommendation,sar_ready,note
GM_RM011_WG11F011,GM_RM011,231,233,review_required,identity_safe_local_candidate,GM_RM011_Y26N007,3,3,3,3,3,car,mid mid mid,mid,196.4,0,large_center_jump,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F012,GM_RM011,236,239,review_required,identity_safe_local_candidate,GM_RM011_Y26N008;GM_RM011_Y26N009,4,4,7,4,4,car,mid right right right,mid;right,34.6,3,left_mid_right_bin_switch;source_detection_reused_by_multiple_candidate_nodes,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F013,GM_RM011,242,264,weak,identity_safe_local_candidate,GM_RM011_Y26N008;GM_RM011_Y26N009;GM_RM011_Y26N010,23,23,30,23,23,car,left left left left left mid left mid mid mid mid mid mid mid mid mid mid mid mid mid right right right,left;mid;right,177.5,7,large_center_jump;left_mid_right_bin_switch;source_detection_reused_by_multiple_candidate_nodes,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F014,GM_RM011,265,270,review_required,identity_safe_local_candidate,GM_RM011_Y26N009;GM_RM011_Y26N010,6,4,8,4,4,car,left left left left,left,78.4,4,source_detection_reused_by_multiple_candidate_nodes;sparse_selected_frames_inside_fragment_span,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F015,GM_RM011,279,288,weak,identity_safe_local_candidate,GM_RM011_Y26N011;GM_RM011_Y26N012,10,9,9,9,9,car,mid mid mid mid right right right right right,mid;right,119.7,0,left_mid_right_bin_switch;sparse_selected_frames_inside_fragment_span,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F016,GM_RM011,289,292,review_required,identity_safe_local_candidate,GM_RM011_Y26N012,4,4,4,4,4,car,left left left left,left,26.3,0,none,no_multivehicle_guardrail_triggered,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F017,GM_RM011,283,292,forbidden,context_only_competitor,GM_RM011_Y26N013,10,4,4,4,10,car,left left left left,left,23.2,0,sparse_selected_frames_inside_fragment_span;review_pack_frame_range_overrun;not_a_vehicle_identity_fragment,render_context_only_selected_frames_283_286;do_not_use_full_frame_range,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM017_WG11F001,GM_RM017,118,144,review_required,target_family_context_candidate,GM_RM017_Y26N002,27,27,27,27,27,truck,left left left left left left left left left left left left left left left left left left left left mid mid mid mid mid mid mid,left;mid,18.5,9,left_mid_right_bin_switch;source_detection_reused_by_multiple_candidate_nodes,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM017_WG11F002,GM_RM017,145,158,review_required,target_family_context_candidate,GM_RM017_Y26N003;GM_RM017_Y26N004,14,14,22,14,14,car;truck,mid mid mid mid left left left left left left left right right left,left;mid;right,567.4,14,class_switch_inside_fragment;large_center_jump;left_mid_right_bin_switch;source_detection_reused_by_multiple_candidate_nodes,demote_to_multi_target_review_window;require_target_family_split_before_vehicle_folder,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM017_WG11F003,GM_RM017,159,163,blocked,node_identity_switch_zone,GM_RM017_Y26N002;GM_RM017_Y26N003;GM_RM017_Y26N004;GM_RM017_Y26N005,5,5,17,5,5,car;truck,left right left right right,left;right,614.7,5,class_switch_inside_fragment;large_center_jump;left_mid_right_bin_switch;source_detection_reused_by_multiple_candidate_nodes;not_a_vehicle_identity_fragment,demote_to_multi_target_review_window;require_target_family_split_before_vehicle_folder,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM017_WG11F004,GM_RM017,164,185,review_required,target_family_context_candidate,GM_RM017_Y26N004,22,22,22,22,22,car,left left left left left mid right right right right mid mid right right right right right right mid right right right,left;mid;right,298.8,22,large_center_jump;left_mid_right_bin_switch;source_detection_reused_by_multiple_candidate_nodes,demote_to_multi_target_review_window;require_target_family_split_before_vehicle_folder,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
GM_RM017_WG11F005,GM_RM017,200,214,review_required,target_family_context_candidate,GM_RM017_Y26N005,15,15,15,15,15,car,right right right right right right right right right right right right right right right,right,20.9,1,source_detection_reused_by_multiple_candidate_nodes,requires_identity_safe_split_or_context_reclassification,no / blocked,diagnostic audit only;not final boxes;not GT;not revised annotation
