scene,canonical_vehicle_id,p1c_global_vehicle_ids,frame_first_visible,frame_last_visible,visible_frame_ranges,occlusion_or_missed_ranges,entry_frame,entry_location,entry_state,exit_frame,exit_location,exit_state,vehicle_color,vehicle_type_or_shape,dominant_motion_direction,scale_trend,distinctive_visual_features,source_tracker_ids,detector_sources,identity_evidence_summary,lifecycle_completeness,thread_purity,freeze_status,risk_flags,notes
GM_RM011,GM_RM011:PV011,GM_RM011:GV012,243,266,243-264;266,265,243,interior_or_prior_occlusion,birth_or_entry,266,interior_or_prior_occlusion,exit_or_death,white,sleek sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,black panoramic roof and flush dark handles,"[""YOLO11l:botsort:bs_0051"", ""YOLO11l:botsort:bs_0056"", ""YOLO11l:bytetrack:bt_0060"", ""YOLO11l:bytetrack:bt_0067"", ""YOLO11l:bytetrack:bt_0070"", ""YOLO26l:botsort:bs_0051"", ""YOLO26l:botsort:bs_0052"", ""YOLO26l:bytetrack:bt_0065"", ""YOLO26l:bytetrack:bt_0070""]","[""YOLO26l""]","Continuous side sweep; simultaneously visible with GV011 and GV013, excluding reset over-splitting.",complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV012,GM_RM011:GV013,262,292,262-266;269-292,267-268,262,interior_or_prior_occlusion,birth_or_entry,292,interior_or_prior_occlusion,exit_or_death,white,sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,black roof/window band and triangular rear quarter,"[""YOLO11l:botsort:bs_0061"", ""YOLO11l:bytetrack:bt_0067"", ""YOLO11l:bytetrack:bt_0074"", ""YOLO11l:bytetrack:bt_0075"", ""YOLO11l:bytetrack:bt_0077"", ""YOLO26l:botsort:bs_0052"", ""YOLO26l:botsort:bs_0057"", ""YOLO26l:bytetrack:bt_0070"", ""YOLO26l:bytetrack:bt_0074""]","[""YOLO26l""]",Continuous rear-to-front sweep; overlaps both GV012 and GV014 at different boundaries.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV013,GM_RM011:GV014,284,315,284-287;289-294;296-300;302-315,288;295;301,284,interior_or_prior_occlusion,birth_or_entry,315,interior_or_prior_occlusion,exit_or_death,white,SUV/crossover,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,"black roof rails, angular red tail lamps, chrome handles","[""YOLO11l:botsort:bs_0064"", ""YOLO11l:bytetrack:bt_0079"", ""YOLO11l:bytetrack:bt_0080"", ""YOLO11l:bytetrack:bt_0081"", ""YOLO26l:botsort:bs_0062"", ""YOLO26l:bytetrack:bt_0080"", ""YOLO26l:bytetrack:bt_0081"", ""YOLO26l:bytetrack:bt_0088""]","[""YOLO26l""]",Continuous rear-to-front sweep with reviewed detector gaps; overlaps GV013 at frames 284-292.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM011,GM_RM011:PV014,,307,336,307-336,307-336,307,interior_or_prior_occlusion,visible_without_p1c_thread,336,interior_or_prior_occlusion,visible_without_p1c_thread,silver cover,fully covered passenger vehicle,stationary_world; apparent_camera_sweep,not_available_without_p1c_box,large silver-covered vehicle after the white SUV,[],[],A distinct covered vehicle is continuously visible at about frames 307-336 after GV014 but never enters any P1-C thread.,conflicted_not_freezable,mixed_and_duplicated,identity_conflict,"[""covered_vehicle"", ""physical_vehicle_missing_from_p1c""]",Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM017,GM_RM017:PV001,GM_RM017:GV001,118,164,118-164,,118,interior_or_prior_occlusion,birth_or_entry,164,interior_or_prior_occlusion,exit_or_death,white,box truck,stationary_world; apparent_left_to_right_from_camera_sweep,increasing,tall rectangular cargo body,"[""YOLO11l:botsort:bs_0001"", ""YOLO11l:bytetrack:bt_0001"", ""YOLO26l:botsort:bs_0006"", ""YOLO26l:bytetrack:bt_0006""]","[""YOLO26l""]","Full entry-to-exit sweep, distinct from all passenger vehicles.",complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM017,GM_RM017:PV002,GM_RM017:GV002,145,185,145-185,,145,interior_or_prior_occlusion,birth_or_entry,185,interior_or_prior_occlusion,exit_or_death,dark gray,leading sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,dark sedan leading the three passenger vehicles,"[""YOLO11l:botsort:bs_0008"", ""YOLO11l:bytetrack:bt_0008"", ""YOLO11l:bytetrack:bt_0014"", ""YOLO26l:botsort:bs_0011"", ""YOLO26l:bytetrack:bt_0011""]","[""YOLO26l""]",Maintains leading order and exits at frame 185.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM017,GM_RM017:PV003,GM_RM017:GV003,151,200,151-200,,151,interior_or_prior_occlusion,birth_or_entry,200,interior_or_prior_occlusion,exit_or_death,white,SUV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,white tall-body vehicle between two dark sedans,"[""YOLO11l:botsort:bs_0010"", ""YOLO11l:bytetrack:bt_0010"", ""YOLO11l:bytetrack:bt_0014"", ""YOLO26l:botsort:bs_0013"", ""YOLO26l:bytetrack:bt_0013""]","[""YOLO26l""]",Simultaneously distinguishable from both dark sedans and exits at frame 200.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM017,GM_RM017:PV004,GM_RM017:GV004,162,214,162-214,,162,interior_or_prior_occlusion,birth_or_entry,214,interior_or_prior_occlusion,exit_or_death,dark gray,trailing sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,dark sedan behind the white SUV,"[""YOLO11l:botsort:bs_0012"", ""YOLO11l:bytetrack:bt_0012"", ""YOLO11l:bytetrack:bt_0014"", ""YOLO26l:botsort:bs_0016"", ""YOLO26l:bytetrack:bt_0016""]","[""YOLO26l""]",Preserves trailing order and exits at frame 214; no later vehicle appears.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM019,GM_RM019:PV001,GM_RM019:GV001,0,14,0-14,,0,initial_frame_boundary,birth_or_entry,14,interior_or_prior_occlusion,exit_or_death,black,sedan,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,early black sedan,"[""YOLO11l:botsort:bs_0001"", ""YOLO11l:bytetrack:bt_0001"", ""YOLO11l:bytetrack:bt_0007"", ""YOLO26l:botsort:bs_0001"", ""YOLO26l:botsort:bs_0002"", ""YOLO26l:bytetrack:bt_0001"", ""YOLO26l:bytetrack:bt_0002"", ""YOLO26l:bytetrack:bt_0004""]","[""YOLO11l""]",Pure and complete frames 0-14; frame 29 white MPV is a different vehicle.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM019,GM_RM019:PV002,GM_RM019:GV002,5,43,5-43,,5,interior_or_prior_occlusion,birth_or_entry,43,interior_or_prior_occlusion,exit_or_death,white,MPV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,white boxy MPV,"[""YOLO11l:botsort:bs_0004"", ""YOLO11l:bytetrack:bt_0004"", ""YOLO26l:botsort:bs_0003"", ""YOLO26l:botsort:bs_0005"", ""YOLO26l:bytetrack:bt_0003"", ""YOLO26l:bytetrack:bt_0005""]","[""YOLO11l""]",Pure and complete frames 5-43; overlaps black sedan without identity competition.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM019,GM_RM019:PV003,GM_RM019:GV004;GM_RM019:GV005,51,143,51-56;60-64;66;72;76-78;80-82;86-92;98-121;124-143,57-59;65;67-71;73-75;79;83-85;93-124;128-136,51,interior_or_prior_occlusion,birth_or_entry,143,interior_or_prior_occlusion,exit_or_death,silver,MPV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,silver MPV visible near frames 98-143,"[""YOLO11l:botsort:bs_0032"", ""YOLO11l:botsort:bs_0057"", ""YOLO11l:botsort:bs_0066"", ""YOLO11l:botsort:bs_0078"", ""YOLO11l:botsort:bs_0079"", ""YOLO11l:bytetrack:bt_0039"", ""YOLO11l:bytetrack:bt_0068"", ""YOLO11l:bytetrack:bt_0077"", ""YOLO11l:bytetrack:bt_0090"", ""YOLO11l:bytetrack:bt_0091"", ""YOLO26l:botsort:bs_0033"", ""YOLO26l:botsort:bs_0054"", ""YOLO26l:botsort:bs_0065"", ""YOLO26l:botsort:bs_0070"", ""YOLO26l:bytetrack:bt_0035"", ""YOLO26l:bytetrack:bt_0057"", ""YOLO26l:bytetrack:bt_0068"", ""YOLO26l:bytetrack:bt_0075""]","[""YOLO11l"", ""YOLO26l""]","GV005 is the physical vehicle thread; GV004 switches onto the same vehicle near frame 125 after non-vehicle fragments, creating both mixture and duplication.",conflicted_not_freezable,mixed_and_duplicated,identity_conflict,"[""mixed_identity"", ""duplicate_global_ids"", ""split_then_merge_required""]",Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
GM_RM019,GM_RM019:PV004,GM_RM019:GV006,149,183,149-183,,149,interior_or_prior_occlusion,birth_or_entry,183,interior_or_prior_occlusion,exit_or_death,gray,SUV,stationary_world; apparent_left_to_right_from_camera_sweep,decreasing,late gray SUV,"[""YOLO11l:botsort:bs_0082"", ""YOLO11l:bytetrack:bt_0095"", ""YOLO26l:botsort:bs_0072"", ""YOLO26l:botsort:bs_0074"", ""YOLO26l:bytetrack:bt_0078"", ""YOLO26l:bytetrack:bt_0080""]","[""YOLO26l""]",Pure and complete frames 149-183; distinct from the preceding silver MPV.,complete_within_camera_sweep,pure_single_physical_vehicle,frozen,[],Audit-layer canonical name only; P1-C output was not edited. Formal frozen outputs withheld because the stage is blocked.
