tracklet_candidate_id,scene,detection_count,tracklet_status,identity_status,edge_conflict_count,same_frame_conflict_count,neighbor_ambiguity_count,boundary_contact_count,quality_notes,policy
oty1_tracklet_0031,GM_RM019,3,ambiguous_geometry_review,ambiguous_crossing_risk,3,0,2,0,multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0032,GM_RM019,42,ambiguous_geometry_review,ambiguous_crossing_risk,42,0,5,32,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0033,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0034,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,0,0,short component; keep candidate-only; multiple plausible geometry edges,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0035,GM_RM019,10,ambiguous_geometry_review,ambiguous_crossing_risk,10,0,5,5,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0036,GM_RM019,7,ambiguous_geometry_review,ambiguous_crossing_risk,7,0,0,7,multiple plausible geometry edges; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0037,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,0,1,short component; keep candidate-only; multiple plausible geometry edges; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0038,GM_RM019,18,ambiguous_geometry_review,ambiguous_crossing_risk,18,0,2,14,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0039,GM_RM019,8,ambiguous_geometry_review,ambiguous_crossing_risk,8,0,6,6,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0040,GM_RM019,2,fragmented_short_track,fragmented_short_track,2,0,2,2,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0041,GM_RM019,5,ambiguous_geometry_review,ambiguous_crossing_risk,4,0,0,4,multiple plausible geometry edges; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0042,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,1,0,short component; keep candidate-only; multiple plausible geometry edges; near same-frame neighbors,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0043,GM_RM019,1,fragmented_short_track,fragmented_short_track,1,0,0,1,short component; keep candidate-only; multiple plausible geometry edges; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0044,GM_RM019,2,fragmented_short_track,fragmented_short_track,0,0,0,0,short component; keep candidate-only,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0045,GM_RM019,13,ambiguous_geometry_review,ambiguous_crossing_risk,12,0,1,11,multiple plausible geometry edges; near same-frame neighbors; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0046,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,0,short component; keep candidate-only,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0047,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0048,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0049,GM_RM019,5,ambiguous_geometry_review,ambiguous_crossing_risk,5,0,0,0,multiple plausible geometry edges,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0050,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0051,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,0,short component; keep candidate-only,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0052,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0053,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
oty1_tracklet_0054,GM_RM019,1,fragmented_short_track,fragmented_short_track,0,0,0,1,short component; keep candidate-only; boundary contact/truncation proxy review,quality_audit_only_not_selector_not_sar_annotation_ranking
